day,cases,cases_new,growth,date
30,1,1,1.0,2020-02-21
31,1,0,1.0,2020-02-22
32,1,0,1.0,2020-02-23
33,1,0,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,2,1,2.0,2020-02-26
36,2,0,1.0,2020-02-27
37,2,0,1.0,2020-02-28
38,4,2,2.0,2020-02-29
39,10,6,2.5,2020-03-01
40,13,3,1.3,2020-03-02
41,13,0,1.0,2020-03-03
42,13,0,1.0,2020-03-04
43,16,3,1.230,2020-03-05
44,22,6,1.375,2020-03-06
45,22,0,1.0,2020-03-07
46,32,10,1.454,2020-03-08
47,32,0,1.0,2020-03-09
48,41,9,1.281,2020-03-10
49,61,20,1.487,2020-03-11
50,66,5,1.081,2020-03-12
51,77,11,1.166,2020-03-13
52,93,16,1.207,2020-03-14
53,110,17,1.182,2020-03-15
54,110,0,1.0,2020-03-16
55,120,10,1.090,2020-03-17
56,133,13,1.108,2020-03-18
57,157,24,1.180,2020-03-19
58,163,6,1.038,2020-03-20
59,187,24,1.147,2020-03-21
60,248,61,1.326,2020-03-22
61,267,19,1.076,2020-03-23
62,318,51,1.191,2020-03-24
63,333,15,1.047,2020-03-25
64,368,35,1.105,2020-03-26
