day,cases,cases_new,growth,date
62,1,1,1.0,2020-03-24
63,1,0,1.0,2020-03-25
64,1,0,1.0,2020-03-26
65,1,0,1.0,2020-03-27
66,3,2,3.0,2020-03-28
67,8,5,2.666,2020-03-29
68,8,0,1.0,2020-03-30
69,10,2,1.25,2020-03-31
70,10,0,1.0,2020-04-01
71,11,1,1.1,2020-04-02
72,11,0,1.0,2020-04-03
73,18,7,1.636,2020-04-04
74,18,0,1.0,2020-04-05
75,19,1,1.055,2020-04-06
76,20,1,1.052,2020-04-07
77,21,1,1.05,2020-04-08
78,24,3,1.142,2020-04-09
79,24,0,1.0,2020-04-10
80,24,0,1.0,2020-04-11
81,25,1,1.041,2020-04-12
82,26,1,1.04,2020-04-13
83,35,9,1.346,2020-04-14
84,48,13,1.371,2020-04-15
85,49,1,1.020,2020-04-16
86,49,0,1.0,2020-04-17
87,49,0,1.0,2020-04-18
88,51,2,1.040,2020-04-19
89,51,0,1.0,2020-04-20
90,51,0,1.0,2020-04-21
91,59,8,1.156,2020-04-22
92,60,1,1.016,2020-04-23
