day,cases,cases_new,growth,date
42,1,1,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,4,3,4.0,2020-03-14
53,4,0,1.0,2020-03-15
54,4,0,1.0,2020-03-16
55,7,3,1.75,2020-03-17
56,28,21,4.0,2020-03-18
57,28,0,1.0,2020-03-19
58,28,0,1.0,2020-03-20
59,37,9,1.321,2020-03-21
60,37,0,1.0,2020-03-22
61,51,14,1.378,2020-03-23
62,51,0,1.0,2020-03-24
63,51,0,1.0,2020-03-25
64,56,5,1.098,2020-03-26
65,56,0,1.0,2020-03-27
66,56,0,1.0,2020-03-28
67,56,0,1.0,2020-03-29
68,62,6,1.107,2020-03-30
69,68,6,1.096,2020-03-31
70,68,0,1.0,2020-04-01
71,75,7,1.102,2020-04-02
72,75,0,1.0,2020-04-03
73,77,2,1.026,2020-04-04
74,77,0,1.0,2020-04-05
75,77,0,1.0,2020-04-06
76,78,1,1.012,2020-04-07
77,78,0,1.0,2020-04-08
78,78,0,1.0,2020-04-09
79,79,1,1.012,2020-04-10
80,79,0,1.0,2020-04-11
81,79,0,1.0,2020-04-12
82,79,0,1.0,2020-04-13
83,79,0,1.0,2020-04-14
84,79,0,1.0,2020-04-15
85,79,0,1.0,2020-04-16
86,79,0,1.0,2020-04-17
87,79,0,1.0,2020-04-18
88,81,2,1.025,2020-04-19
89,81,0,1.0,2020-04-20
90,81,0,1.0,2020-04-21
91,81,0,1.0,2020-04-22
92,81,0,1.0,2020-04-23
93,81,0,1.0,2020-04-24
94,81,0,1.0,2020-04-25
95,82,1,1.012,2020-04-26
96,82,0,1.0,2020-04-27
97,82,0,1.0,2020-04-28
98,82,0,1.0,2020-04-29
99,82,0,1.0,2020-04-30
100,82,0,1.0,2020-05-01
101,82,0,1.0,2020-05-02
102,82,0,1.0,2020-05-03
103,82,0,1.0,2020-05-04
104,82,0,1.0,2020-05-05
105,82,0,1.0,2020-05-06
106,82,0,1.0,2020-05-07
107,82,0,1.0,2020-05-08
108,82,0,1.0,2020-05-09
109,82,0,1.0,2020-05-10
110,82,0,1.0,2020-05-11
111,82,0,1.0,2020-05-12
112,82,0,1.0,2020-05-13
113,82,0,1.0,2020-05-14
114,82,0,1.0,2020-05-15
115,82,0,1.0,2020-05-16
116,82,0,1.0,2020-05-17
117,82,0,1.0,2020-05-18
118,82,0,1.0,2020-05-19
119,82,0,1.0,2020-05-20
120,82,0,1.0,2020-05-21
121,82,0,1.0,2020-05-22
122,82,0,1.0,2020-05-23
123,82,0,1.0,2020-05-24
