day,cases,cases_new,growth,date
37,1,1,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,3,2,3.0,2020-03-11
50,4,1,1.333,2020-03-12
51,6,2,1.5,2020-03-13
52,8,2,1.333,2020-03-14
53,12,4,1.5,2020-03-15
54,17,5,1.416,2020-03-16
55,25,8,1.470,2020-03-17
56,27,2,1.08,2020-03-18
57,36,9,1.333,2020-03-19
58,49,13,1.361,2020-03-20
59,83,34,1.693,2020-03-21
60,143,60,1.722,2020-03-22
61,179,36,1.251,2020-03-23
62,209,30,1.167,2020-03-24
63,274,65,1.311,2020-03-25
64,299,25,1.091,2020-03-26
65,358,59,1.197,2020-03-27
66,394,36,1.100,2020-03-28
67,460,66,1.167,2020-03-29
68,491,31,1.067,2020-03-30
69,537,46,1.093,2020-03-31
70,581,44,1.081,2020-04-01
71,649,68,1.117,2020-04-02
72,696,47,1.072,2020-04-03
73,771,75,1.107,2020-04-04
74,811,40,1.051,2020-04-05
75,843,32,1.039,2020-04-06
76,880,37,1.043,2020-04-07
77,912,32,1.036,2020-04-08
78,955,43,1.047,2020-04-09
79,999,44,1.046,2020-04-10
80,1026,27,1.027,2020-04-11
81,1053,27,1.026,2020-04-12
82,1062,9,1.008,2020-04-13
83,1070,8,1.007,2020-04-14
84,1091,21,1.019,2020-04-15
85,1128,37,1.033,2020-04-16
86,1149,21,1.018,2020-04-17
87,1239,90,1.078,2020-04-18
88,1298,59,1.047,2020-04-19
89,1326,28,1.021,2020-04-20
90,1350,24,1.018,2020-04-21
91,1370,20,1.014,2020-04-22
92,1398,28,1.020,2020-04-23
93,1410,12,1.008,2020-04-24
94,1426,16,1.011,2020-04-25
95,1438,12,1.008,2020-04-26
96,1449,11,1.007,2020-04-27
97,1344,-105,0.927,2020-04-28
98,1375,31,1.023,2020-04-29
99,1385,10,1.007,2020-04-30
100,1399,14,1.010,2020-05-01
101,1406,7,1.005,2020-05-02
102,1410,4,1.002,2020-05-03
103,1419,9,1.006,2020-05-04
104,1423,4,1.002,2020-05-05
105,1428,5,1.003,2020-05-06
106,1433,5,1.003,2020-05-07
107,1436,3,1.002,2020-05-08
108,1444,8,1.005,2020-05-09
109,1479,35,1.024,2020-05-10
110,1485,6,1.004,2020-05-11
111,1491,6,1.004,2020-05-12
112,1505,14,1.009,2020-05-13
113,1511,6,1.003,2020-05-14
114,1523,12,1.007,2020-05-15
115,1534,11,1.007,2020-05-16
116,1541,7,1.004,2020-05-17
117,1547,6,1.003,2020-05-18
118,1562,15,1.009,2020-05-19
119,1577,15,1.009,2020-05-20
120,1593,16,1.010,2020-05-21
121,1604,11,1.006,2020-05-22
122,1616,12,1.007,2020-05-23
123,1623,7,1.004,2020-05-24
