day,cases,cases_new,growth,date
38,1,1,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,2,1,2.0,2020-03-06
45,2,0,1.0,2020-03-07
46,3,1,1.5,2020-03-08
47,3,0,1.0,2020-03-09
48,5,2,1.666,2020-03-10
49,7,2,1.4,2020-03-11
50,19,12,2.714,2020-03-12
51,34,15,1.789,2020-03-13
52,51,17,1.5,2020-03-14
53,59,8,1.156,2020-03-15
54,77,18,1.305,2020-03-16
55,140,63,1.818,2020-03-17
56,203,63,1.45,2020-03-18
57,335,132,1.650,2020-03-19
58,484,149,1.444,2020-03-20
59,670,186,1.384,2020-03-21
60,798,128,1.191,2020-03-22
61,875,77,1.096,2020-03-23
62,1099,224,1.256,2020-03-24
63,1333,234,1.212,2020-03-25
64,1453,120,1.090,2020-03-26
65,1605,152,1.104,2020-03-27
66,1831,226,1.140,2020-03-28
67,1950,119,1.064,2020-03-29
68,1988,38,1.019,2020-03-30
69,2178,190,1.095,2020-03-31
70,2319,141,1.064,2020-04-01
71,2487,168,1.072,2020-04-02
72,2612,125,1.050,2020-04-03
73,2729,117,1.044,2020-04-04
74,2804,75,1.027,2020-04-05
75,2843,39,1.013,2020-04-06
76,2970,127,1.044,2020-04-07
77,3034,64,1.021,2020-04-08
78,3115,81,1.026,2020-04-09
79,3223,108,1.034,2020-04-10
80,3270,47,1.014,2020-04-11
81,3281,11,1.003,2020-04-12
82,3292,11,1.003,2020-04-13
83,3307,15,1.004,2020-04-14
84,3373,66,1.019,2020-04-15
85,3444,71,1.021,2020-04-16
86,3480,36,1.010,2020-04-17
87,3537,57,1.016,2020-04-18
88,3550,13,1.003,2020-04-19
89,3558,8,1.002,2020-04-20
90,3618,60,1.016,2020-04-21
91,3654,36,1.009,2020-04-22
92,3665,11,1.003,2020-04-23
93,3695,30,1.008,2020-04-24
94,3711,16,1.004,2020-04-25
95,3723,12,1.003,2020-04-26
96,3729,6,1.001,2020-04-27
97,3741,12,1.003,2020-04-28
98,3769,28,1.007,2020-04-29
99,3784,15,1.003,2020-04-30
100,3802,18,1.004,2020-05-01
101,3812,10,1.002,2020-05-02
102,3824,12,1.003,2020-05-03
103,3828,4,1.001,2020-05-04
104,3840,12,1.003,2020-05-05
105,3851,11,1.002,2020-05-06
106,3859,8,1.002,2020-05-07
107,3871,12,1.003,2020-05-08
108,3877,6,1.001,2020-05-09
109,3886,9,1.002,2020-05-10
110,3888,2,1.000,2020-05-11
111,3894,6,1.001,2020-05-12
112,3904,10,1.002,2020-05-13
113,3915,11,1.002,2020-05-14
114,3923,8,1.002,2020-05-15
115,3930,7,1.001,2020-05-16
116,3945,15,1.003,2020-05-17
117,3947,2,1.000,2020-05-18
118,3958,11,1.002,2020-05-19
119,3971,13,1.003,2020-05-20
120,3980,9,1.002,2020-05-21
121,3981,1,1.000,2020-05-22
122,3990,9,1.002,2020-05-23
123,3992,2,1.000,2020-05-24
