day,cases,cases_new,growth,date
66,2,2,1.0,2020-03-28
67,2,0,1.0,2020-03-29
68,2,0,1.0,2020-03-30
69,2,0,1.0,2020-03-31
70,9,7,4.5,2020-04-01
71,9,0,1.0,2020-04-02
72,9,0,1.0,2020-04-03
73,9,0,1.0,2020-04-04
74,9,0,1.0,2020-04-05
75,9,0,1.0,2020-04-06
76,9,0,1.0,2020-04-07
77,9,0,1.0,2020-04-08
78,9,0,1.0,2020-04-09
79,9,0,1.0,2020-04-10
80,9,0,1.0,2020-04-11
81,9,0,1.0,2020-04-12
82,9,0,1.0,2020-04-13
83,9,0,1.0,2020-04-14
84,9,0,1.0,2020-04-15
85,9,0,1.0,2020-04-16
86,9,0,1.0,2020-04-17
87,9,0,1.0,2020-04-18
88,9,0,1.0,2020-04-19
89,9,0,1.0,2020-04-20
90,9,0,1.0,2020-04-21
91,9,0,1.0,2020-04-22
92,9,0,1.0,2020-04-23
93,9,0,1.0,2020-04-24
94,9,0,1.0,2020-04-25
95,9,0,1.0,2020-04-26
96,9,0,1.0,2020-04-27
97,9,0,1.0,2020-04-28
98,9,0,1.0,2020-04-29
99,9,0,1.0,2020-04-30
100,9,0,1.0,2020-05-01
101,9,0,1.0,2020-05-02
102,9,0,1.0,2020-05-03
103,9,0,1.0,2020-05-04
104,9,0,1.0,2020-05-05
105,9,0,1.0,2020-05-06
106,9,0,1.0,2020-05-07
107,9,0,1.0,2020-05-08
108,9,0,1.0,2020-05-09
109,9,0,1.0,2020-05-10
110,9,0,1.0,2020-05-11
111,9,0,1.0,2020-05-12
112,9,0,1.0,2020-05-13
113,9,0,1.0,2020-05-14
114,9,0,1.0,2020-05-15
115,9,0,1.0,2020-05-16
116,9,0,1.0,2020-05-17
117,9,0,1.0,2020-05-18
118,9,0,1.0,2020-05-19
119,9,0,1.0,2020-05-20
120,9,0,1.0,2020-05-21
121,9,0,1.0,2020-05-22
122,9,0,1.0,2020-05-23
123,9,0,1.0,2020-05-24
