day,cases,cases_new,growth,date
58,3,3,1.0,2020-03-20
59,3,0,1.0,2020-03-21
60,3,0,1.0,2020-03-22
61,12,9,4.0,2020-03-23
62,17,5,1.416,2020-03-24
63,19,2,1.117,2020-03-25
64,23,4,1.210,2020-03-26
65,26,3,1.130,2020-03-27
66,26,0,1.0,2020-03-28
67,39,13,1.5,2020-03-29
68,43,4,1.102,2020-03-30
69,57,14,1.325,2020-03-31
70,57,0,1.0,2020-04-01
71,59,2,1.035,2020-04-02
72,70,11,1.186,2020-04-03
73,70,0,1.0,2020-04-04
74,72,2,1.028,2020-04-05
75,82,10,1.138,2020-04-06
76,88,6,1.073,2020-04-07
77,93,5,1.056,2020-04-08
78,93,0,1.0,2020-04-09
79,93,0,1.0,2020-04-10
80,102,9,1.096,2020-04-11
81,106,4,1.039,2020-04-12
82,106,0,1.0,2020-04-13
83,108,2,1.018,2020-04-14
84,110,2,1.018,2020-04-15
85,111,1,1.009,2020-04-16
86,117,6,1.054,2020-04-17
87,120,3,1.025,2020-04-18
88,121,1,1.008,2020-04-19
89,121,0,1.0,2020-04-20
90,121,0,1.0,2020-04-21
91,121,0,1.0,2020-04-22
92,121,0,1.0,2020-04-23
93,122,1,1.008,2020-04-24
94,123,1,1.008,2020-04-25
95,124,1,1.008,2020-04-26
96,128,4,1.032,2020-04-27
97,128,0,1.0,2020-04-28
98,128,0,1.0,2020-04-29
99,128,0,1.0,2020-04-30
100,132,4,1.031,2020-05-01
101,135,3,1.022,2020-05-02
102,149,14,1.103,2020-05-03
103,149,0,1.0,2020-05-04
104,151,2,1.013,2020-05-05
105,158,7,1.046,2020-05-06
106,193,35,1.221,2020-05-07
107,193,0,1.0,2020-05-08
108,193,0,1.0,2020-05-09
109,193,0,1.0,2020-05-10
110,186,-7,0.963,2020-05-11
111,186,0,1.0,2020-05-12
112,212,26,1.139,2020-05-13
113,230,18,1.084,2020-05-14
114,238,8,1.034,2020-05-15
115,283,45,1.189,2020-05-16
116,304,21,1.074,2020-05-17
117,322,18,1.059,2020-05-18
118,326,4,1.012,2020-05-19
119,371,45,1.138,2020-05-20
120,405,34,1.091,2020-05-21
121,448,43,1.106,2020-05-22
122,488,40,1.089,2020-05-23
123,527,39,1.079,2020-05-24
