day,cases,cases_new,growth,date
71,3,3,1.0,2020-04-02
72,3,0,1.0,2020-04-03
73,4,1,1.333,2020-04-04
74,4,0,1.0,2020-04-05
75,5,1,1.25,2020-04-06
76,8,3,1.6,2020-04-07
77,8,0,1.0,2020-04-08
78,8,0,1.0,2020-04-09
79,9,1,1.125,2020-04-10
80,12,3,1.333,2020-04-11
81,13,1,1.083,2020-04-12
82,16,3,1.230,2020-04-13
83,16,0,1.0,2020-04-14
84,16,0,1.0,2020-04-15
85,16,0,1.0,2020-04-16
86,17,1,1.062,2020-04-17
87,17,0,1.0,2020-04-18
88,17,0,1.0,2020-04-19
89,17,0,1.0,2020-04-20
90,18,1,1.058,2020-04-21
91,23,5,1.277,2020-04-22
92,33,10,1.434,2020-04-23
93,33,0,1.0,2020-04-24
94,33,0,1.0,2020-04-25
95,34,1,1.030,2020-04-26
96,36,2,1.058,2020-04-27
97,36,0,1.0,2020-04-28
98,36,0,1.0,2020-04-29
99,37,1,1.027,2020-04-30
100,37,0,1.0,2020-05-01
101,38,1,1.027,2020-05-02
102,39,1,1.026,2020-05-03
103,41,2,1.051,2020-05-04
104,41,0,1.0,2020-05-05
105,43,2,1.048,2020-05-06
106,43,0,1.0,2020-05-07
107,43,0,1.0,2020-05-08
108,56,13,1.302,2020-05-09
109,56,0,1.0,2020-05-10
110,57,1,1.017,2020-05-11
111,57,0,1.0,2020-05-12
112,63,6,1.105,2020-05-13
113,63,0,1.0,2020-05-14
114,63,0,1.0,2020-05-15
115,65,2,1.031,2020-05-16
116,70,5,1.076,2020-05-17
117,70,0,1.0,2020-05-18
118,70,0,1.0,2020-05-19
119,71,1,1.014,2020-05-20
120,72,1,1.014,2020-05-21
121,82,10,1.138,2020-05-22
122,82,0,1.0,2020-05-23
123,83,1,1.012,2020-05-24
