day,cases,cases_new,growth,date
46,4,4,1.0,2020-03-08
47,4,0,1.0,2020-03-09
48,6,2,1.5,2020-03-10
49,8,2,1.333,2020-03-11
50,8,0,1.0,2020-03-12
51,9,1,1.125,2020-03-13
52,10,1,1.111,2020-03-14
53,13,3,1.3,2020-03-15
54,13,0,1.0,2020-03-16
55,13,0,1.0,2020-03-17
56,13,0,1.0,2020-03-18
57,13,0,1.0,2020-03-19
58,13,0,1.0,2020-03-20
59,13,0,1.0,2020-03-21
60,13,0,1.0,2020-03-22
61,13,0,1.0,2020-03-23
62,13,0,1.0,2020-03-24
63,13,0,1.0,2020-03-25
64,13,0,1.0,2020-03-26
65,16,3,1.230,2020-03-27
66,16,0,1.0,2020-03-28
67,17,1,1.062,2020-03-29
68,17,0,1.0,2020-03-30
69,18,1,1.058,2020-03-31
70,19,1,1.055,2020-04-01
71,19,0,1.0,2020-04-02
72,19,0,1.0,2020-04-03
73,19,0,1.0,2020-04-04
74,19,0,1.0,2020-04-05
75,19,0,1.0,2020-04-06
76,19,0,1.0,2020-04-07
77,19,0,1.0,2020-04-08
78,19,0,1.0,2020-04-09
79,19,0,1.0,2020-04-10
80,19,0,1.0,2020-04-11
81,20,1,1.052,2020-04-12
82,20,0,1.0,2020-04-13
83,20,0,1.0,2020-04-14
84,22,2,1.1,2020-04-15
85,25,3,1.136,2020-04-16
86,28,3,1.12,2020-04-17
87,35,7,1.25,2020-04-18
88,52,17,1.485,2020-04-19
89,69,17,1.326,2020-04-20
90,83,14,1.202,2020-04-21
91,86,3,1.036,2020-04-22
92,108,22,1.255,2020-04-23
