day,cases,cases_new,growth,date
63,2,2,1.0,2020-03-25
64,4,2,2.0,2020-03-26
65,11,7,2.75,2020-03-27
66,18,7,1.636,2020-03-28
67,18,0,1.0,2020-03-29
68,25,7,1.388,2020-03-30
69,28,3,1.12,2020-03-31
70,31,3,1.107,2020-04-01
71,36,5,1.161,2020-04-02
72,39,3,1.083,2020-04-03
73,41,2,1.051,2020-04-04
74,45,4,1.097,2020-04-05
75,47,2,1.044,2020-04-06
76,56,9,1.191,2020-04-07
77,59,3,1.053,2020-04-08
78,74,15,1.254,2020-04-09
79,87,13,1.175,2020-04-10
80,87,0,1.0,2020-04-11
81,105,18,1.206,2020-04-12
82,123,18,1.171,2020-04-13
83,144,21,1.170,2020-04-14
84,148,4,1.027,2020-04-15
85,171,23,1.155,2020-04-16
86,171,0,1.0,2020-04-17
87,216,45,1.263,2020-04-18
88,224,8,1.037,2020-04-19
89,246,22,1.098,2020-04-20
90,258,12,1.048,2020-04-21
91,293,35,1.135,2020-04-22
92,309,16,1.054,2020-04-23
93,325,16,1.051,2020-04-24
94,370,45,1.138,2020-04-25
95,389,19,1.051,2020-04-26
96,408,19,1.048,2020-04-27
97,424,16,1.039,2020-04-28
98,482,58,1.136,2020-04-29
99,490,8,1.016,2020-04-30
100,508,18,1.036,2020-05-01
101,544,36,1.070,2020-05-02
102,563,19,1.034,2020-05-03
103,580,17,1.030,2020-05-04
104,612,32,1.055,2020-05-05
105,631,19,1.031,2020-05-06
106,650,19,1.030,2020-05-07
107,668,18,1.027,2020-05-08
108,692,24,1.035,2020-05-09
109,704,12,1.017,2020-05-10
110,712,8,1.011,2020-05-11
111,730,18,1.025,2020-05-12
112,758,28,1.038,2020-05-13
113,779,21,1.027,2020-05-14
114,806,27,1.034,2020-05-15
115,835,29,1.035,2020-05-16
116,860,25,1.029,2020-05-17
117,874,14,1.016,2020-05-18
118,901,27,1.030,2020-05-19
119,931,30,1.033,2020-05-20
120,947,16,1.017,2020-05-21
121,969,22,1.023,2020-05-22
122,1015,46,1.047,2020-05-23
123,1030,15,1.014,2020-05-24
