day,cases,cases_new,growth,date
45,3,3,1.0,2020-03-07
46,3,0,1.0,2020-03-08
47,3,0,1.0,2020-03-09
48,5,2,1.666,2020-03-10
49,6,1,1.2,2020-03-11
50,8,2,1.333,2020-03-12
51,12,4,1.5,2020-03-13
52,18,6,1.5,2020-03-14
53,21,3,1.166,2020-03-15
54,30,9,1.428,2020-03-16
55,38,8,1.266,2020-03-17
56,38,0,1.0,2020-03-18
57,53,15,1.394,2020-03-19
58,64,11,1.207,2020-03-20
59,73,9,1.140,2020-03-21
60,90,17,1.232,2020-03-22
61,107,17,1.188,2020-03-23
62,110,3,1.028,2020-03-24
63,129,19,1.172,2020-03-25
64,134,5,1.038,2020-03-26
65,139,5,1.037,2020-03-27
66,149,10,1.071,2020-03-28
67,151,2,1.013,2020-03-29
68,156,5,1.033,2020-03-30
69,169,13,1.083,2020-03-31
70,188,19,1.112,2020-04-01
71,196,8,1.042,2020-04-02
72,202,6,1.030,2020-04-03
