day,cases,cases_new,growth,date
52,1,1,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,2,1,2.0,2020-03-19
58,2,0,1.0,2020-03-20
59,2,0,1.0,2020-03-21
60,2,0,1.0,2020-03-22
61,2,0,1.0,2020-03-23
62,2,0,1.0,2020-03-24
63,2,0,1.0,2020-03-25
64,3,1,1.5,2020-03-26
65,3,0,1.0,2020-03-27
66,5,2,1.666,2020-03-28
67,5,0,1.0,2020-03-29
68,5,0,1.0,2020-03-30
69,6,1,1.2,2020-03-31
70,6,0,1.0,2020-04-01
71,6,0,1.0,2020-04-02
72,6,0,1.0,2020-04-03
73,6,0,1.0,2020-04-04
74,6,0,1.0,2020-04-05
75,6,0,1.0,2020-04-06
76,6,0,1.0,2020-04-07
77,6,0,1.0,2020-04-08
78,7,1,1.166,2020-04-09
79,7,0,1.0,2020-04-10
80,7,0,1.0,2020-04-11
81,7,0,1.0,2020-04-12
82,7,0,1.0,2020-04-13
83,7,0,1.0,2020-04-14
84,7,0,1.0,2020-04-15
85,7,0,1.0,2020-04-16
86,7,0,1.0,2020-04-17
87,7,0,1.0,2020-04-18
88,7,0,1.0,2020-04-19
89,7,0,1.0,2020-04-20
90,7,0,1.0,2020-04-21
91,7,0,1.0,2020-04-22
92,7,0,1.0,2020-04-23
