day,cases,cases_new,growth,date
37,1,1,1.0,2020-02-28
38,4,3,4.0,2020-02-29
39,5,1,1.25,2020-03-01
40,5,0,1.0,2020-03-02
41,5,0,1.0,2020-03-03
42,5,0,1.0,2020-03-04
43,5,0,1.0,2020-03-05
44,6,1,1.2,2020-03-06
45,6,0,1.0,2020-03-07
46,7,1,1.166,2020-03-08
47,7,0,1.0,2020-03-09
48,7,0,1.0,2020-03-10
49,8,1,1.142,2020-03-11
50,12,4,1.5,2020-03-12
51,12,0,1.0,2020-03-13
52,26,14,2.166,2020-03-14
53,41,15,1.576,2020-03-15
54,53,12,1.292,2020-03-16
55,82,29,1.547,2020-03-17
56,93,11,1.134,2020-03-18
57,118,25,1.268,2020-03-19
58,164,46,1.389,2020-03-20
59,203,39,1.237,2020-03-21
60,251,48,1.236,2020-03-22
61,316,65,1.258,2020-03-23
62,367,51,1.161,2020-03-24
63,405,38,1.103,2020-03-25
64,475,70,1.172,2020-03-26
65,585,110,1.231,2020-03-27
66,717,132,1.225,2020-03-28
67,848,131,1.182,2020-03-29
68,993,145,1.170,2020-03-30
69,1094,101,1.101,2020-03-31
