day,cases,cases_new,growth,date
46,1,1,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,3,2,3.0,2020-03-10
49,3,0,1.0,2020-03-11
50,4,1,1.333,2020-03-12
51,6,2,1.5,2020-03-13
52,12,6,2.0,2020-03-14
53,23,11,1.916,2020-03-15
54,23,0,1.0,2020-03-16
55,30,7,1.304,2020-03-17
56,30,0,1.0,2020-03-18
57,49,19,1.633,2020-03-19
58,66,17,1.346,2020-03-20
59,80,14,1.212,2020-03-21
60,94,14,1.175,2020-03-22
61,109,15,1.159,2020-03-23
62,125,16,1.146,2020-03-24
63,149,24,1.192,2020-03-25
64,177,28,1.187,2020-03-26
65,199,22,1.124,2020-03-27
66,231,32,1.160,2020-03-28
67,263,32,1.138,2020-03-29
68,298,35,1.133,2020-03-30
69,353,55,1.184,2020-03-31
70,423,70,1.198,2020-04-01
71,505,82,1.193,2020-04-02
72,591,86,1.170,2020-04-03
73,752,161,1.272,2020-04-04
74,864,112,1.148,2020-04-05
75,965,101,1.116,2020-04-06
76,1056,91,1.094,2020-04-07
77,1174,118,1.111,2020-04-08
78,1289,115,1.097,2020-04-09
79,1438,149,1.115,2020-04-10
80,1560,122,1.084,2020-04-11
81,1662,102,1.065,2020-04-12
82,1712,50,1.030,2020-04-13
83,1934,222,1.129,2020-04-14
84,2049,115,1.059,2020-04-15
85,2154,105,1.051,2020-04-16
86,2264,110,1.051,2020-04-17
87,2378,114,1.050,2020-04-18
88,2472,94,1.039,2020-04-19
89,2548,76,1.030,2020-04-20
90,2614,66,1.025,2020-04-21
91,2778,164,1.062,2020-04-22
92,2926,148,1.053,2020-04-23
