day,cases,cases_new,growth,date
38,1,1,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,2,1,2.0,2020-03-12
51,2,0,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,7,5,3.5,2020-03-16
55,7,0,1.0,2020-03-17
56,7,0,1.0,2020-03-18
57,7,0,1.0,2020-03-19
58,11,4,1.571,2020-03-20
59,11,0,1.0,2020-03-21
60,23,12,2.090,2020-03-22
61,23,0,1.0,2020-03-23
62,23,0,1.0,2020-03-24
63,31,8,1.347,2020-03-25
64,33,2,1.064,2020-03-26
65,42,9,1.272,2020-03-27
66,42,0,1.0,2020-03-28
67,46,4,1.095,2020-03-29
68,49,3,1.065,2020-03-30
69,52,3,1.061,2020-03-31
70,55,3,1.057,2020-04-01
71,60,5,1.090,2020-04-02
72,64,4,1.066,2020-04-03
73,66,2,1.031,2020-04-04
74,73,7,1.106,2020-04-05
75,77,4,1.054,2020-04-06
76,79,2,1.025,2020-04-07
77,81,2,1.025,2020-04-08
78,84,3,1.037,2020-04-09
79,90,6,1.071,2020-04-10
80,92,2,1.022,2020-04-11
81,93,1,1.010,2020-04-12
82,93,0,1.0,2020-04-13
83,93,0,1.0,2020-04-14
84,93,0,1.0,2020-04-15
85,93,0,1.0,2020-04-16
86,94,1,1.010,2020-04-17
87,94,0,1.0,2020-04-18
88,94,0,1.0,2020-04-19
89,94,0,1.0,2020-04-20
90,94,0,1.0,2020-04-21
91,94,0,1.0,2020-04-22
92,94,0,1.0,2020-04-23
