day,cases,cases_new,growth,date
48,1,1,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,5,4,5.0,2020-03-17
56,6,1,1.2,2020-03-18
57,6,0,1.0,2020-03-19
58,6,0,1.0,2020-03-20
59,10,4,1.666,2020-03-21
60,10,0,1.0,2020-03-22
61,10,0,1.0,2020-03-23
62,10,0,1.0,2020-03-24
63,10,0,1.0,2020-03-25
64,11,1,1.1,2020-03-26
65,11,0,1.0,2020-03-27
66,12,1,1.090,2020-03-28
67,12,0,1.0,2020-03-29
68,12,0,1.0,2020-03-30
69,12,0,1.0,2020-03-31
70,14,2,1.166,2020-04-01
71,14,0,1.0,2020-04-02
72,14,0,1.0,2020-04-03
73,14,0,1.0,2020-04-04
74,14,0,1.0,2020-04-05
75,15,1,1.071,2020-04-06
76,15,0,1.0,2020-04-07
77,16,1,1.066,2020-04-08
78,16,0,1.0,2020-04-09
79,16,0,1.0,2020-04-10
80,16,0,1.0,2020-04-11
81,16,0,1.0,2020-04-12
82,17,1,1.062,2020-04-13
83,30,13,1.764,2020-04-14
84,30,0,1.0,2020-04-15
85,31,1,1.033,2020-04-16
86,31,0,1.0,2020-04-17
87,31,0,1.0,2020-04-18
88,32,1,1.032,2020-04-19
89,33,1,1.031,2020-04-20
90,34,1,1.030,2020-04-21
91,35,1,1.029,2020-04-22
92,36,1,1.028,2020-04-23
