day,cases,cases_new,growth,date
55,2,2,1.0,2020-03-17
56,2,0,1.0,2020-03-18
57,3,1,1.5,2020-03-19
58,14,11,4.666,2020-03-20
59,14,0,1.0,2020-03-21
60,21,7,1.5,2020-03-22
61,27,6,1.285,2020-03-23
62,47,20,1.740,2020-03-24
63,52,5,1.106,2020-03-25
64,69,17,1.326,2020-03-26
65,82,13,1.188,2020-03-27
66,84,2,1.024,2020-03-28
67,85,1,1.011,2020-03-29
68,91,6,1.070,2020-03-30
69,109,18,1.197,2020-03-31
70,123,14,1.128,2020-04-01
71,144,21,1.170,2020-04-02
72,174,30,1.208,2020-04-03
73,201,27,1.155,2020-04-04
74,214,13,1.064,2020-04-05
75,233,19,1.088,2020-04-06
76,241,8,1.034,2020-04-07
77,248,7,1.029,2020-04-08
78,252,4,1.016,2020-04-09
79,255,3,1.011,2020-04-10
80,263,8,1.031,2020-04-11
81,272,9,1.034,2020-04-12
82,274,2,1.007,2020-04-13
83,283,9,1.032,2020-04-14
84,288,5,1.017,2020-04-15
85,303,15,1.052,2020-04-16
86,303,0,1.0,2020-04-17
87,307,4,1.013,2020-04-18
88,308,1,1.003,2020-04-19
89,312,4,1.012,2020-04-20
90,313,1,1.003,2020-04-21
91,315,2,1.006,2020-04-22
92,316,1,1.003,2020-04-23
93,319,3,1.009,2020-04-24
94,320,1,1.003,2020-04-25
95,321,1,1.003,2020-04-26
96,321,0,1.0,2020-04-27
97,321,0,1.0,2020-04-28
98,322,1,1.003,2020-04-29
99,322,0,1.0,2020-04-30
100,322,0,1.0,2020-05-01
101,322,0,1.0,2020-05-02
102,322,0,1.0,2020-05-03
103,323,1,1.003,2020-05-04
104,324,1,1.003,2020-05-05
105,324,0,1.0,2020-05-06
106,324,0,1.0,2020-05-07
107,324,0,1.0,2020-05-08
108,324,0,1.0,2020-05-09
109,324,0,1.0,2020-05-10
110,324,0,1.0,2020-05-11
111,324,0,1.0,2020-05-12
112,324,0,1.0,2020-05-13
113,324,0,1.0,2020-05-14
114,324,0,1.0,2020-05-15
115,324,0,1.0,2020-05-16
116,324,0,1.0,2020-05-17
117,324,0,1.0,2020-05-18
118,324,0,1.0,2020-05-19
119,324,0,1.0,2020-05-20
120,324,0,1.0,2020-05-21
121,324,0,1.0,2020-05-22
122,324,0,1.0,2020-05-23
123,324,0,1.0,2020-05-24
