day,cases,cases_new,growth,date
40,1,1,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,2,1,2.0,2020-03-05
44,2,0,1.0,2020-03-06
45,2,0,1.0,2020-03-07
46,2,0,1.0,2020-03-08
47,2,0,1.0,2020-03-09
48,3,1,1.5,2020-03-10
49,5,2,1.666,2020-03-11
50,6,1,1.2,2020-03-12
51,7,1,1.166,2020-03-13
52,17,10,2.428,2020-03-14
53,28,11,1.647,2020-03-15
54,29,1,1.035,2020-03-16
55,38,9,1.310,2020-03-17
56,49,11,1.289,2020-03-18
57,63,14,1.285,2020-03-19
58,77,14,1.222,2020-03-20
59,96,19,1.246,2020-03-21
