day,cases,cases_new,growth,date
60,1,1,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,3,2,3.0,2020-03-24
63,5,2,1.666,2020-03-25
64,7,2,1.4,2020-03-26
65,7,0,1.0,2020-03-27
66,8,1,1.142,2020-03-28
67,8,0,1.0,2020-03-29
68,8,0,1.0,2020-03-30
69,8,0,1.0,2020-03-31
70,10,2,1.25,2020-04-01
71,10,0,1.0,2020-04-02
72,10,0,1.0,2020-04-03
73,10,0,1.0,2020-04-04
74,10,0,1.0,2020-04-05
75,10,0,1.0,2020-04-06
76,10,0,1.0,2020-04-07
77,17,7,1.7,2020-04-08
78,17,0,1.0,2020-04-09
79,20,3,1.176,2020-04-10
80,20,0,1.0,2020-04-11
81,21,1,1.05,2020-04-12
