day,cases,cases_new,growth,date
52,2,2,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,2,0,1.0,2020-03-16
55,2,0,1.0,2020-03-17
56,2,0,1.0,2020-03-18
57,3,1,1.5,2020-03-19
58,3,0,1.0,2020-03-20
59,3,0,1.0,2020-03-21
60,3,0,1.0,2020-03-22
61,4,1,1.333,2020-03-23
62,7,3,1.75,2020-03-24
63,7,0,1.0,2020-03-25
64,8,1,1.142,2020-03-26
65,8,0,1.0,2020-03-27
66,8,0,1.0,2020-03-28
67,11,3,1.375,2020-03-29
68,11,0,1.0,2020-03-30
69,11,0,1.0,2020-03-31
70,14,3,1.272,2020-04-01
71,14,0,1.0,2020-04-02
72,14,0,1.0,2020-04-03
73,14,0,1.0,2020-04-04
74,16,2,1.142,2020-04-05
75,16,0,1.0,2020-04-06
76,16,0,1.0,2020-04-07
77,16,0,1.0,2020-04-08
78,16,0,1.0,2020-04-09
79,16,0,1.0,2020-04-10
80,16,0,1.0,2020-04-11
81,16,0,1.0,2020-04-12
82,16,0,1.0,2020-04-13
83,16,0,1.0,2020-04-14
84,16,0,1.0,2020-04-15
85,16,0,1.0,2020-04-16
86,16,0,1.0,2020-04-17
87,16,0,1.0,2020-04-18
88,16,0,1.0,2020-04-19
89,16,0,1.0,2020-04-20
90,16,0,1.0,2020-04-21
91,16,0,1.0,2020-04-22
92,16,0,1.0,2020-04-23
93,16,0,1.0,2020-04-24
94,16,0,1.0,2020-04-25
95,16,0,1.0,2020-04-26
96,16,0,1.0,2020-04-27
97,16,0,1.0,2020-04-28
98,16,0,1.0,2020-04-29
99,16,0,1.0,2020-04-30
100,16,0,1.0,2020-05-01
101,16,0,1.0,2020-05-02
102,16,0,1.0,2020-05-03
103,16,0,1.0,2020-05-04
104,16,0,1.0,2020-05-05
105,16,0,1.0,2020-05-06
106,16,0,1.0,2020-05-07
107,16,0,1.0,2020-05-08
108,16,0,1.0,2020-05-09
109,16,0,1.0,2020-05-10
110,16,0,1.0,2020-05-11
111,16,0,1.0,2020-05-12
112,16,0,1.0,2020-05-13
113,16,0,1.0,2020-05-14
114,16,0,1.0,2020-05-15
115,16,0,1.0,2020-05-16
116,16,0,1.0,2020-05-17
117,16,0,1.0,2020-05-18
118,16,0,1.0,2020-05-19
119,16,0,1.0,2020-05-20
120,18,2,1.125,2020-05-21
121,19,1,1.055,2020-05-22
122,20,1,1.052,2020-05-23
123,21,1,1.05,2020-05-24
