day,cases,cases_new,growth,date
36,1,1,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,6,5,6.0,2020-02-29
39,10,4,1.666,2020-03-01
40,18,8,1.8,2020-03-02
41,24,6,1.333,2020-03-03
42,38,14,1.583,2020-03-04
43,82,44,2.157,2020-03-05
44,128,46,1.560,2020-03-06
45,188,60,1.468,2020-03-07
46,265,77,1.409,2020-03-08
47,321,56,1.211,2020-03-09
48,382,61,1.190,2020-03-10
49,503,121,1.316,2020-03-11
50,603,100,1.198,2020-03-12
51,804,201,1.333,2020-03-13
52,959,155,1.192,2020-03-14
53,1135,176,1.183,2020-03-15
54,1413,278,1.244,2020-03-16
55,1705,292,1.206,2020-03-17
56,2051,346,1.202,2020-03-18
57,2460,409,1.199,2020-03-19
58,2994,534,1.217,2020-03-20
59,3631,637,1.212,2020-03-21
60,4204,573,1.157,2020-03-22
61,4749,545,1.129,2020-03-23
62,5560,811,1.170,2020-03-24
63,6412,852,1.153,2020-03-25
64,7431,1019,1.158,2020-03-26
65,8603,1172,1.157,2020-03-27
66,9762,1159,1.134,2020-03-28
67,10866,1104,1.113,2020-03-29
68,11750,884,1.081,2020-03-30
69,12595,845,1.071,2020-03-31
70,13614,1019,1.080,2020-04-01
71,14697,1083,1.079,2020-04-02
72,15723,1026,1.069,2020-04-03
