day,cases,cases_new,growth,date
51,2,2,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,2,0,1.0,2020-03-16
55,3,1,1.5,2020-03-17
56,4,1,1.333,2020-03-18
57,4,0,1.0,2020-03-19
58,5,1,1.25,2020-03-20
59,5,0,1.0,2020-03-21
60,9,4,1.8,2020-03-22
61,9,0,1.0,2020-03-23
62,12,3,1.333,2020-03-24
63,17,5,1.416,2020-03-25
64,28,11,1.647,2020-03-26
65,33,5,1.178,2020-03-27
66,46,13,1.393,2020-03-28
67,50,4,1.086,2020-03-29
68,50,0,1.0,2020-03-30
69,55,5,1.1,2020-03-31
70,55,0,1.0,2020-04-01
71,60,5,1.090,2020-04-02
72,62,2,1.033,2020-04-03
73,64,2,1.032,2020-04-04
74,64,0,1.0,2020-04-05
75,71,7,1.109,2020-04-06
76,74,3,1.042,2020-04-07
77,77,3,1.040,2020-04-08
78,82,5,1.064,2020-04-09
79,86,4,1.048,2020-04-10
80,92,6,1.069,2020-04-11
81,92,0,1.0,2020-04-12
82,92,0,1.0,2020-04-13
83,92,0,1.0,2020-04-14
84,93,1,1.010,2020-04-15
85,95,2,1.021,2020-04-16
86,96,1,1.010,2020-04-17
87,96,0,1.0,2020-04-18
88,97,1,1.010,2020-04-19
89,97,0,1.0,2020-04-20
90,97,0,1.0,2020-04-21
91,100,3,1.030,2020-04-22
92,100,0,1.0,2020-04-23
