day,cases,cases_new,growth,date
71,2,2,1.0,2020-04-02
72,2,0,1.0,2020-04-03
73,2,0,1.0,2020-04-04
74,2,0,1.0,2020-04-05
75,2,0,1.0,2020-04-06
76,2,0,1.0,2020-04-07
77,2,0,1.0,2020-04-08
78,2,0,1.0,2020-04-09
79,2,0,1.0,2020-04-10
80,2,0,1.0,2020-04-11
81,3,1,1.5,2020-04-12
82,3,0,1.0,2020-04-13
83,3,0,1.0,2020-04-14
84,3,0,1.0,2020-04-15
85,3,0,1.0,2020-04-16
86,3,0,1.0,2020-04-17
87,3,0,1.0,2020-04-18
88,5,2,1.666,2020-04-19
89,5,0,1.0,2020-04-20
90,5,0,1.0,2020-04-21
91,5,0,1.0,2020-04-22
92,5,0,1.0,2020-04-23
