day,cases,cases_new,growth,date
52,1,1,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,3,2,3.0,2020-03-17
56,3,0,1.0,2020-03-18
57,3,0,1.0,2020-03-19
58,3,0,1.0,2020-03-20
59,3,0,1.0,2020-03-21
60,3,0,1.0,2020-03-22
61,4,1,1.333,2020-03-23
62,6,2,1.5,2020-03-24
63,6,0,1.0,2020-03-25
64,6,0,1.0,2020-03-26
65,8,2,1.333,2020-03-27
66,8,0,1.0,2020-03-28
67,8,0,1.0,2020-03-29
68,11,3,1.375,2020-03-30
69,11,0,1.0,2020-03-31
70,11,0,1.0,2020-04-01
71,11,0,1.0,2020-04-02
72,11,0,1.0,2020-04-03
73,11,0,1.0,2020-04-04
74,11,0,1.0,2020-04-05
75,13,2,1.181,2020-04-06
76,13,0,1.0,2020-04-07
77,14,1,1.076,2020-04-08
78,14,0,1.0,2020-04-09
79,14,0,1.0,2020-04-10
80,14,0,1.0,2020-04-11
81,14,0,1.0,2020-04-12
82,14,0,1.0,2020-04-13
83,14,0,1.0,2020-04-14
84,14,0,1.0,2020-04-15
85,14,0,1.0,2020-04-16
86,14,0,1.0,2020-04-17
87,14,0,1.0,2020-04-18
88,14,0,1.0,2020-04-19
89,14,0,1.0,2020-04-20
90,14,0,1.0,2020-04-21
91,14,0,1.0,2020-04-22
92,14,0,1.0,2020-04-23
93,16,2,1.142,2020-04-24
94,16,0,1.0,2020-04-25
95,16,0,1.0,2020-04-26
96,16,0,1.0,2020-04-27
97,16,0,1.0,2020-04-28
98,16,0,1.0,2020-04-29
99,16,0,1.0,2020-04-30
100,16,0,1.0,2020-05-01
101,16,0,1.0,2020-05-02
102,16,0,1.0,2020-05-03
103,16,0,1.0,2020-05-04
104,16,0,1.0,2020-05-05
105,16,0,1.0,2020-05-06
106,16,0,1.0,2020-05-07
107,16,0,1.0,2020-05-08
108,16,0,1.0,2020-05-09
109,16,0,1.0,2020-05-10
110,16,0,1.0,2020-05-11
111,16,0,1.0,2020-05-12
112,16,0,1.0,2020-05-13
113,16,0,1.0,2020-05-14
114,16,0,1.0,2020-05-15
115,16,0,1.0,2020-05-16
116,16,0,1.0,2020-05-17
117,16,0,1.0,2020-05-18
118,16,0,1.0,2020-05-19
119,16,0,1.0,2020-05-20
120,16,0,1.0,2020-05-21
121,16,0,1.0,2020-05-22
122,17,1,1.062,2020-05-23
123,17,0,1.0,2020-05-24
