day,cases,cases_new,growth,date
36,1,1,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,6,5,6.0,2020-02-29
39,10,4,1.666,2020-03-01
40,18,8,1.8,2020-03-02
41,24,6,1.333,2020-03-03
42,38,14,1.583,2020-03-04
43,82,44,2.157,2020-03-05
44,128,46,1.560,2020-03-06
45,188,60,1.468,2020-03-07
46,265,77,1.409,2020-03-08
47,321,56,1.211,2020-03-09
48,382,61,1.190,2020-03-10
49,503,121,1.316,2020-03-11
50,503,0,1.0,2020-03-12
51,804,301,1.598,2020-03-13
52,959,155,1.192,2020-03-14
53,1135,176,1.183,2020-03-15
54,1413,278,1.244,2020-03-16
55,1705,292,1.206,2020-03-17
56,2051,346,1.202,2020-03-18
