day,cases,cases_new,growth,date
57,1,1,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,2,1,2.0,2020-03-21
60,2,0,1.0,2020-03-22
61,2,0,1.0,2020-03-23
62,2,0,1.0,2020-03-24
63,2,0,1.0,2020-03-25
64,2,0,1.0,2020-03-26
65,2,0,1.0,2020-03-27
66,4,2,2.0,2020-03-28
67,4,0,1.0,2020-03-29
68,4,0,1.0,2020-03-30
69,5,1,1.25,2020-03-31
70,5,0,1.0,2020-04-01
71,5,0,1.0,2020-04-02
72,5,0,1.0,2020-04-03
73,5,0,1.0,2020-04-04
74,6,1,1.2,2020-04-05
75,6,0,1.0,2020-04-06
76,6,0,1.0,2020-04-07
77,6,0,1.0,2020-04-08
78,7,1,1.166,2020-04-09
79,7,0,1.0,2020-04-10
80,8,1,1.142,2020-04-11
81,9,1,1.125,2020-04-12
82,9,0,1.0,2020-04-13
83,9,0,1.0,2020-04-14
84,9,0,1.0,2020-04-15
85,9,0,1.0,2020-04-16
86,9,0,1.0,2020-04-17
87,9,0,1.0,2020-04-18
88,10,1,1.111,2020-04-19
89,10,0,1.0,2020-04-20
90,10,0,1.0,2020-04-21
91,10,0,1.0,2020-04-22
92,11,1,1.1,2020-04-23
