day,cases,cases_new,growth,date
58,1,1,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,2,1,2.0,2020-03-22
61,3,1,1.5,2020-03-23
62,3,0,1.0,2020-03-24
63,7,4,2.333,2020-03-25
64,10,3,1.428,2020-03-26
65,10,0,1.0,2020-03-27
66,10,0,1.0,2020-03-28
67,18,8,1.8,2020-03-29
68,27,9,1.5,2020-03-30
69,27,0,1.0,2020-03-31
70,74,47,2.740,2020-04-01
71,98,24,1.324,2020-04-02
72,120,22,1.224,2020-04-03
73,144,24,1.2,2020-04-04
74,184,40,1.277,2020-04-05
75,253,69,1.375,2020-04-06
76,278,25,1.098,2020-04-07
77,342,64,1.230,2020-04-08
78,410,68,1.198,2020-04-09
79,438,28,1.068,2020-04-10
80,491,53,1.121,2020-04-11
81,529,38,1.077,2020-04-12
82,529,0,1.0,2020-04-13
83,570,41,1.077,2020-04-14
84,584,14,1.024,2020-04-15
85,584,0,1.0,2020-04-16
86,627,43,1.073,2020-04-17
87,639,12,1.019,2020-04-18
88,648,9,1.014,2020-04-19
89,648,0,1.0,2020-04-20
90,657,9,1.013,2020-04-21
91,662,5,1.007,2020-04-22
92,671,9,1.013,2020-04-23
