day,cases,cases_new,growth,date
37,1,1,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,2,1,2.0,2020-03-09
48,2,0,1.0,2020-03-10
49,2,0,1.0,2020-03-11
50,2,0,1.0,2020-03-12
51,2,0,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,2,0,1.0,2020-03-16
55,3,1,1.5,2020-03-17
56,8,5,2.666,2020-03-18
57,8,0,1.0,2020-03-19
58,12,4,1.5,2020-03-20
59,22,10,1.833,2020-03-21
60,30,8,1.363,2020-03-22
61,40,10,1.333,2020-03-23
62,44,4,1.1,2020-03-24
63,51,7,1.159,2020-03-25
64,65,14,1.274,2020-03-26
65,70,5,1.076,2020-03-27
66,89,19,1.271,2020-03-28
67,111,22,1.247,2020-03-29
68,131,20,1.180,2020-03-30
69,135,4,1.030,2020-03-31
70,174,39,1.288,2020-04-01
71,184,10,1.057,2020-04-02
72,210,26,1.141,2020-04-03
73,214,4,1.019,2020-04-04
74,232,18,1.084,2020-04-05
75,238,6,1.025,2020-04-06
76,254,16,1.067,2020-04-07
77,276,22,1.086,2020-04-08
78,288,12,1.043,2020-04-09
79,305,17,1.059,2020-04-10
80,318,13,1.042,2020-04-11
81,323,5,1.015,2020-04-12
82,343,20,1.061,2020-04-13
83,373,30,1.087,2020-04-14
84,407,34,1.091,2020-04-15
85,442,35,1.085,2020-04-16
86,493,51,1.115,2020-04-17
87,542,49,1.099,2020-04-18
88,627,85,1.156,2020-04-19
89,665,38,1.060,2020-04-20
90,665,0,1.0,2020-04-21
91,873,208,1.312,2020-04-22
92,981,108,1.123,2020-04-23
