day,cases,cases_new,growth,date
35,1,1,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,3,2,3.0,2020-03-06
45,3,0,1.0,2020-03-07
46,3,0,1.0,2020-03-08
47,3,0,1.0,2020-03-09
48,7,4,2.333,2020-03-10
49,7,0,1.0,2020-03-11
50,9,2,1.285,2020-03-12
51,14,5,1.555,2020-03-13
52,14,0,1.0,2020-03-14
53,14,0,1.0,2020-03-15
54,18,4,1.285,2020-03-16
55,26,8,1.444,2020-03-17
56,35,9,1.346,2020-03-18
57,48,13,1.371,2020-03-19
58,67,19,1.395,2020-03-20
59,85,18,1.268,2020-03-21
60,115,30,1.352,2020-03-22
61,136,21,1.182,2020-03-23
62,148,12,1.088,2020-03-24
63,177,29,1.195,2020-03-25
64,201,24,1.135,2020-03-26
65,219,18,1.089,2020-03-27
66,241,22,1.100,2020-03-28
67,259,18,1.074,2020-03-29
68,285,26,1.100,2020-03-30
69,329,44,1.154,2020-03-31
70,354,25,1.075,2020-04-01
71,384,30,1.084,2020-04-02
72,430,46,1.119,2020-04-03
73,483,53,1.123,2020-04-04
74,555,72,1.149,2020-04-05
75,570,15,1.027,2020-04-06
76,599,29,1.050,2020-04-07
77,617,18,1.030,2020-04-08
78,663,46,1.074,2020-04-09
79,711,48,1.072,2020-04-10
80,760,49,1.068,2020-04-11
81,828,68,1.089,2020-04-12
82,854,26,1.031,2020-04-13
83,908,54,1.063,2020-04-14
84,974,66,1.072,2020-04-15
85,1081,107,1.109,2020-04-16
86,1117,36,1.033,2020-04-17
87,1170,53,1.047,2020-04-18
88,1207,37,1.031,2020-04-19
89,1225,18,1.014,2020-04-20
90,1231,6,1.004,2020-04-21
91,1259,28,1.022,2020-04-22
92,1300,41,1.032,2020-04-23
93,1326,26,1.02,2020-04-24
94,1367,41,1.030,2020-04-25
95,1386,19,1.013,2020-04-26
96,1399,13,1.009,2020-04-27
97,1421,22,1.015,2020-04-28
98,1442,21,1.014,2020-04-29
99,1465,23,1.015,2020-04-30
100,1494,29,1.019,2020-05-01
101,1506,12,1.008,2020-05-02
102,1511,5,1.003,2020-05-03
103,1518,7,1.004,2020-05-04
104,1526,8,1.005,2020-05-05
105,1539,13,1.008,2020-05-06
106,1572,33,1.021,2020-05-07
107,1586,14,1.008,2020-05-08
108,1622,36,1.022,2020-05-09
109,1642,20,1.012,2020-05-10
110,1664,22,1.013,2020-05-11
111,1674,10,1.006,2020-05-12
112,1694,20,1.011,2020-05-13
113,1723,29,1.017,2020-05-14
114,1740,17,1.009,2020-05-15
115,1762,22,1.012,2020-05-16
116,1792,30,1.017,2020-05-17
117,1817,25,1.013,2020-05-18
118,1839,22,1.012,2020-05-19
119,1858,19,1.010,2020-05-20
120,1898,40,1.021,2020-05-21
121,1921,23,1.012,2020-05-22
122,1941,20,1.010,2020-05-23
123,1978,37,1.019,2020-05-24
