day,cases,cases_new,growth,date
35,1,1,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,6,5,6.0,2020-02-28
38,15,9,2.5,2020-02-29
39,19,4,1.266,2020-03-01
40,25,6,1.315,2020-03-02
41,32,7,1.28,2020-03-03
42,56,24,1.75,2020-03-04
43,87,31,1.553,2020-03-05
44,108,21,1.241,2020-03-06
45,147,39,1.361,2020-03-07
46,176,29,1.197,2020-03-08
47,205,29,1.164,2020-03-09
48,400,195,1.951,2020-03-10
49,598,198,1.495,2020-03-11
50,702,104,1.173,2020-03-12
51,996,294,1.418,2020-03-13
52,1090,94,1.094,2020-03-14
53,1221,131,1.120,2020-03-15
54,1333,112,1.091,2020-03-16
55,1463,130,1.097,2020-03-17
56,1550,87,1.059,2020-03-18
57,1746,196,1.126,2020-03-19
58,1914,168,1.096,2020-03-20
59,2118,204,1.106,2020-03-21
60,2385,267,1.126,2020-03-22
61,2621,236,1.098,2020-03-23
62,2863,242,1.092,2020-03-24
63,3084,221,1.077,2020-03-25
64,3369,285,1.092,2020-03-26
65,3755,386,1.114,2020-03-27
66,4015,260,1.069,2020-03-28
67,4284,269,1.066,2020-03-29
68,4445,161,1.037,2020-03-30
69,4641,196,1.044,2020-03-31
70,4863,222,1.047,2020-04-01
71,5147,284,1.058,2020-04-02
72,5370,223,1.043,2020-04-03
73,5550,180,1.033,2020-04-04
74,5687,137,1.024,2020-04-05
75,5865,178,1.031,2020-04-06
76,6086,221,1.037,2020-04-07
77,6086,0,1.0,2020-04-08
78,6211,125,1.020,2020-04-09
79,6314,103,1.016,2020-04-10
80,6409,95,1.015,2020-04-11
81,6525,116,1.018,2020-04-12
82,6603,78,1.011,2020-04-13
83,6623,20,1.003,2020-04-14
84,6740,117,1.017,2020-04-15
85,6896,156,1.023,2020-04-16
86,6937,41,1.005,2020-04-17
87,7036,99,1.014,2020-04-18
88,7078,42,1.005,2020-04-19
89,7156,78,1.011,2020-04-20
90,7191,35,1.004,2020-04-21
91,7338,147,1.020,2020-04-22
92,7401,63,1.008,2020-04-23
