day,cases,cases_new,growth,date
33,2,2,1.0,2020-02-24
34,2,0,1.0,2020-02-25
35,4,2,2.0,2020-02-26
36,4,0,1.0,2020-02-27
37,4,0,1.0,2020-02-28
38,6,2,1.5,2020-02-29
39,6,0,1.0,2020-03-01
40,6,0,1.0,2020-03-02
41,12,6,2.0,2020-03-03
42,15,3,1.25,2020-03-04
43,16,1,1.066,2020-03-05
44,16,0,1.0,2020-03-06
45,16,0,1.0,2020-03-07
46,16,0,1.0,2020-03-08
47,16,0,1.0,2020-03-09
48,18,2,1.125,2020-03-10
49,18,0,1.0,2020-03-11
50,18,0,1.0,2020-03-12
51,19,1,1.055,2020-03-13
52,19,0,1.0,2020-03-14
53,22,3,1.157,2020-03-15
54,22,0,1.0,2020-03-16
55,24,2,1.090,2020-03-17
56,39,15,1.625,2020-03-18
57,48,9,1.230,2020-03-19
58,48,0,1.0,2020-03-20
59,52,4,1.083,2020-03-21
