day,cases,cases_new,growth,date
48,1,1,1.0,2020-03-10
49,8,7,8.0,2020-03-11
50,11,3,1.375,2020-03-12
51,27,16,2.454,2020-03-13
52,36,9,1.333,2020-03-14
53,43,7,1.194,2020-03-15
54,55,12,1.279,2020-03-16
55,69,14,1.254,2020-03-17
56,86,17,1.246,2020-03-18
57,109,23,1.267,2020-03-19
58,137,28,1.256,2020-03-20
59,200,63,1.459,2020-03-21
60,313,113,1.565,2020-03-22
61,345,32,1.102,2020-03-23
62,345,0,1.0,2020-03-24
63,443,98,1.284,2020-03-25
64,558,115,1.259,2020-03-26
65,674,116,1.207,2020-03-27
66,786,112,1.166,2020-03-28
67,901,115,1.146,2020-03-29
68,989,88,1.097,2020-03-30
69,1181,192,1.194,2020-03-31
70,1181,0,1.0,2020-04-01
71,1317,136,1.115,2020-04-02
72,1475,158,1.119,2020-04-03
73,1673,198,1.134,2020-04-04
74,1801,128,1.076,2020-04-05
75,1988,187,1.103,2020-04-06
76,2100,112,1.056,2020-04-07
77,2249,149,1.070,2020-04-08
78,2528,279,1.124,2020-04-09
79,2752,224,1.088,2020-04-10
80,2974,222,1.080,2020-04-11
81,3234,260,1.087,2020-04-12
82,3400,166,1.051,2020-04-13
83,3472,72,1.021,2020-04-14
84,3574,102,1.029,2020-04-15
85,3751,177,1.049,2020-04-16
86,4016,265,1.070,2020-04-17
87,4210,194,1.048,2020-04-18
88,4273,63,1.014,2020-04-19
89,4467,194,1.045,2020-04-20
90,4658,191,1.042,2020-04-21
91,4821,163,1.034,2020-04-22
92,5166,345,1.071,2020-04-23
93,5338,172,1.033,2020-04-24
94,5538,200,1.037,2020-04-25
95,5779,241,1.043,2020-04-26
96,6021,242,1.041,2020-04-27
97,6021,0,1.0,2020-04-28
98,6378,357,1.059,2020-04-29
99,6532,154,1.024,2020-04-30
100,6720,188,1.028,2020-05-01
101,7090,370,1.055,2020-05-02
102,7090,0,1.0,2020-05-03
103,7197,107,1.015,2020-05-04
104,7523,326,1.045,2020-05-05
105,7731,208,1.027,2020-05-06
106,7868,137,1.017,2020-05-07
107,8070,202,1.025,2020-05-08
108,8282,212,1.026,2020-05-09
109,8448,166,1.020,2020-05-10
110,8616,168,1.019,2020-05-11
111,8783,167,1.019,2020-05-12
112,8944,161,1.018,2020-05-13
113,9118,174,1.019,2020-05-14
114,9268,150,1.016,2020-05-15
115,9449,181,1.019,2020-05-16
116,9606,157,1.016,2020-05-17
117,9726,120,1.012,2020-05-18
118,9867,141,1.014,2020-05-19
119,9977,110,1.011,2020-05-20
120,10116,139,1.013,2020-05-21
121,10267,151,1.014,2020-05-22
122,10577,310,1.030,2020-05-23
123,10926,349,1.032,2020-05-24
