day,cases,cases_new,growth,date
58,1,1,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,1,0,1.0,2020-03-24
63,1,0,1.0,2020-03-25
64,1,0,1.0,2020-03-26
65,1,0,1.0,2020-03-27
66,1,0,1.0,2020-03-28
67,1,0,1.0,2020-03-29
68,1,0,1.0,2020-03-30
69,1,0,1.0,2020-03-31
70,1,0,1.0,2020-04-01
71,1,0,1.0,2020-04-02
72,1,0,1.0,2020-04-03
73,1,0,1.0,2020-04-04
74,1,0,1.0,2020-04-05
75,2,1,2.0,2020-04-06
76,2,0,1.0,2020-04-07
77,2,0,1.0,2020-04-08
78,2,0,1.0,2020-04-09
79,2,0,1.0,2020-04-10
80,2,0,1.0,2020-04-11
81,2,0,1.0,2020-04-12
82,2,0,1.0,2020-04-13
83,2,0,1.0,2020-04-14
84,2,0,1.0,2020-04-15
85,7,5,3.5,2020-04-16
86,7,0,1.0,2020-04-17
87,7,0,1.0,2020-04-18
88,7,0,1.0,2020-04-19
89,7,0,1.0,2020-04-20
90,7,0,1.0,2020-04-21
91,8,1,1.142,2020-04-22
92,8,0,1.0,2020-04-23
