day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,6,5,6.0,2020-03-08
47,7,1,1.166,2020-03-09
48,11,4,1.571,2020-03-10
49,11,0,1.0,2020-03-11
50,15,4,1.363,2020-03-12
51,28,13,1.866,2020-03-13
52,38,10,1.357,2020-03-14
53,43,5,1.131,2020-03-15
54,86,43,2.0,2020-03-16
55,117,31,1.360,2020-03-17
56,145,28,1.239,2020-03-18
57,234,89,1.613,2020-03-19
58,234,0,1.0,2020-03-20
59,318,84,1.358,2020-03-21
60,363,45,1.141,2020-03-22
61,395,32,1.088,2020-03-23
62,416,21,1.053,2020-03-24
63,480,64,1.153,2020-03-25
64,580,100,1.208,2020-03-26
65,635,55,1.094,2020-03-27
66,671,36,1.056,2020-03-28
67,852,181,1.269,2020-03-29
68,950,98,1.115,2020-03-30
69,1065,115,1.121,2020-03-31
70,1323,258,1.242,2020-04-01
71,1414,91,1.068,2020-04-02
72,1595,181,1.128,2020-04-03
73,1746,151,1.094,2020-04-04
74,2281,535,1.306,2020-04-05
75,2561,280,1.122,2020-04-06
76,2954,393,1.153,2020-04-07
77,4342,1388,1.469,2020-04-08
78,5256,914,1.210,2020-04-09
79,5897,641,1.121,2020-04-10
80,6848,951,1.161,2020-04-11
81,7519,671,1.097,2020-04-12
82,9784,2265,1.301,2020-04-13
83,10303,519,1.053,2020-04-14
84,11475,1172,1.113,2020-04-15
85,12491,1016,1.088,2020-04-16
86,13489,998,1.079,2020-04-17
87,14420,931,1.069,2020-04-18
88,15628,1208,1.083,2020-04-19
89,16325,697,1.044,2020-04-20
90,17837,1512,1.092,2020-04-21
91,19250,1413,1.079,2020-04-22
92,20914,1664,1.086,2020-04-23
93,21648,734,1.035,2020-04-24
94,25331,3683,1.170,2020-04-25
95,27517,2186,1.086,2020-04-26
96,28699,1182,1.042,2020-04-27
97,31190,2491,1.086,2020-04-28
98,33931,2741,1.087,2020-04-29
99,36976,3045,1.089,2020-04-30
100,40459,3483,1.094,2020-05-01
101,42534,2075,1.051,2020-05-02
102,45928,3394,1.079,2020-05-03
103,47372,1444,1.031,2020-05-04
104,51189,3817,1.080,2020-05-05
105,54817,3628,1.070,2020-05-06
106,58526,3709,1.067,2020-05-07
107,61847,3321,1.056,2020-05-08
108,65015,3168,1.051,2020-05-09
109,67307,2292,1.035,2020-05-10
110,68822,1515,1.022,2020-05-11
111,72059,3237,1.047,2020-05-12
112,76306,4247,1.058,2020-05-13
113,80604,4298,1.056,2020-05-14
114,84495,3891,1.048,2020-05-15
115,88541,4046,1.047,2020-05-16
116,92273,3732,1.042,2020-05-17
117,94933,2660,1.028,2020-05-18
118,99483,4550,1.047,2020-05-19
119,104020,4537,1.045,2020-05-20
120,108769,4749,1.045,2020-05-21
121,111698,2929,1.026,2020-05-22
122,115754,4056,1.036,2020-05-23
123,119959,4205,1.036,2020-05-24
