day,cases,cases_new,growth,date
8,1,1,1.0,2020-01-30
9,1,0,1.0,2020-01-31
10,1,0,1.0,2020-02-01
11,2,1,2.0,2020-02-02
12,2,0,1.0,2020-02-03
13,2,0,1.0,2020-02-04
14,2,0,1.0,2020-02-05
15,2,0,1.0,2020-02-06
16,3,1,1.5,2020-02-07
17,3,0,1.0,2020-02-08
18,3,0,1.0,2020-02-09
19,3,0,1.0,2020-02-10
20,3,0,1.0,2020-02-11
21,3,0,1.0,2020-02-12
22,3,0,1.0,2020-02-13
23,3,0,1.0,2020-02-14
24,3,0,1.0,2020-02-15
25,3,0,1.0,2020-02-16
26,3,0,1.0,2020-02-17
27,3,0,1.0,2020-02-18
28,3,0,1.0,2020-02-19
29,3,0,1.0,2020-02-20
30,3,0,1.0,2020-02-21
31,3,0,1.0,2020-02-22
32,3,0,1.0,2020-02-23
33,3,0,1.0,2020-02-24
34,3,0,1.0,2020-02-25
35,3,0,1.0,2020-02-26
36,3,0,1.0,2020-02-27
37,3,0,1.0,2020-02-28
38,3,0,1.0,2020-02-29
39,3,0,1.0,2020-03-01
40,3,0,1.0,2020-03-02
41,3,0,1.0,2020-03-03
42,3,0,1.0,2020-03-04
43,3,0,1.0,2020-03-05
44,5,2,1.666,2020-03-06
45,6,1,1.2,2020-03-07
46,10,4,1.666,2020-03-08
47,20,10,2.0,2020-03-09
48,33,13,1.65,2020-03-10
49,49,16,1.484,2020-03-11
50,52,3,1.061,2020-03-12
51,64,12,1.230,2020-03-13
52,111,47,1.734,2020-03-14
53,140,29,1.261,2020-03-15
54,142,2,1.014,2020-03-16
55,187,45,1.316,2020-03-17
56,202,15,1.080,2020-03-18
57,217,15,1.074,2020-03-19
58,230,13,1.059,2020-03-20
59,307,77,1.334,2020-03-21
60,380,73,1.237,2020-03-22
61,462,82,1.215,2020-03-23
62,552,90,1.194,2020-03-24
63,636,84,1.152,2020-03-25
64,707,71,1.111,2020-03-26
65,803,96,1.135,2020-03-27
66,1075,272,1.338,2020-03-28
67,1418,343,1.319,2020-03-29
68,1546,128,1.090,2020-03-30
69,2084,538,1.347,2020-03-31
70,2311,227,1.108,2020-04-01
71,2633,322,1.139,2020-04-02
72,3018,385,1.146,2020-04-03
