day,cases,cases_new,growth,date
42,1,1,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,5,4,5.0,2020-03-06
45,5,0,1.0,2020-03-07
46,11,6,2.2,2020-03-08
47,16,5,1.454,2020-03-09
48,22,6,1.375,2020-03-10
49,31,9,1.409,2020-03-11
50,49,18,1.580,2020-03-12
51,68,19,1.387,2020-03-13
52,103,35,1.514,2020-03-14
53,119,16,1.155,2020-03-15
54,177,58,1.487,2020-03-16
55,238,61,1.344,2020-03-17
56,251,13,1.054,2020-03-18
57,355,104,1.414,2020-03-19
58,425,70,1.197,2020-03-20
59,536,111,1.261,2020-03-21
60,634,98,1.182,2020-03-22
61,749,115,1.181,2020-03-23
62,901,152,1.202,2020-03-24
63,1051,150,1.166,2020-03-25
64,1221,170,1.161,2020-03-26
65,1389,168,1.137,2020-03-27
66,1638,249,1.179,2020-03-28
67,1862,224,1.136,2020-03-29
68,2055,193,1.103,2020-03-30
69,2311,256,1.124,2020-03-31
70,2554,243,1.105,2020-04-01
71,2946,392,1.153,2020-04-02
72,3383,437,1.148,2020-04-03
73,3627,244,1.072,2020-04-04
74,4102,475,1.130,2020-04-05
75,4413,311,1.075,2020-04-06
76,4848,435,1.098,2020-04-07
77,5205,357,1.073,2020-04-08
78,5575,370,1.071,2020-04-09
79,5955,380,1.068,2020-04-10
80,6356,401,1.067,2020-04-11
81,6674,318,1.050,2020-04-12
82,6934,260,1.038,2020-04-13
83,7202,268,1.038,2020-04-14
84,7582,380,1.052,2020-04-15
85,7918,336,1.044,2020-04-16
86,8379,461,1.058,2020-04-17
87,8742,363,1.043,2020-04-18
88,9287,545,1.062,2020-04-19
89,9593,306,1.032,2020-04-20
90,9856,263,1.027,2020-04-21
91,10169,313,1.031,2020-04-22
92,10511,342,1.033,2020-04-23
