day,cases,cases_new,growth,date
35,1,1,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,3,2,3.0,2020-02-28
38,3,0,1.0,2020-02-29
39,3,0,1.0,2020-03-01
40,3,0,1.0,2020-03-02
41,3,0,1.0,2020-03-03
42,4,1,1.333,2020-03-04
43,6,2,1.5,2020-03-05
44,9,3,1.5,2020-03-06
45,9,0,1.0,2020-03-07
46,15,6,1.666,2020-03-08
47,15,0,1.0,2020-03-09
48,25,10,1.666,2020-03-10
49,45,20,1.8,2020-03-11
50,49,4,1.088,2020-03-12
51,89,40,1.816,2020-03-13
52,123,34,1.382,2020-03-14
53,131,8,1.065,2020-03-15
54,158,27,1.206,2020-03-16
