day,cases,cases_new,growth,date
9,2,2,1.0,2020-01-31
10,2,0,1.0,2020-02-01
11,2,0,1.0,2020-02-02
12,2,0,1.0,2020-02-03
13,2,0,1.0,2020-02-04
14,2,0,1.0,2020-02-05
15,2,0,1.0,2020-02-06
16,2,0,1.0,2020-02-07
17,2,0,1.0,2020-02-08
18,2,0,1.0,2020-02-09
19,2,0,1.0,2020-02-10
20,2,0,1.0,2020-02-11
21,2,0,1.0,2020-02-12
22,2,0,1.0,2020-02-13
23,2,0,1.0,2020-02-14
24,2,0,1.0,2020-02-15
25,2,0,1.0,2020-02-16
26,2,0,1.0,2020-02-17
27,2,0,1.0,2020-02-18
28,2,0,1.0,2020-02-19
29,2,0,1.0,2020-02-20
30,2,0,1.0,2020-02-21
31,2,0,1.0,2020-02-22
32,2,0,1.0,2020-02-23
33,2,0,1.0,2020-02-24
34,2,0,1.0,2020-02-25
35,2,0,1.0,2020-02-26
36,2,0,1.0,2020-02-27
37,2,0,1.0,2020-02-28
38,2,0,1.0,2020-02-29
39,2,0,1.0,2020-03-01
40,3,1,1.5,2020-03-02
41,3,0,1.0,2020-03-03
42,3,0,1.0,2020-03-04
43,4,1,1.333,2020-03-05
44,13,9,3.25,2020-03-06
45,13,0,1.0,2020-03-07
46,17,4,1.307,2020-03-08
47,17,0,1.0,2020-03-09
48,20,3,1.176,2020-03-10
49,20,0,1.0,2020-03-11
50,28,8,1.4,2020-03-12
51,45,17,1.607,2020-03-13
52,59,14,1.311,2020-03-14
53,63,4,1.067,2020-03-15
54,90,27,1.428,2020-03-16
55,114,24,1.266,2020-03-17
56,147,33,1.289,2020-03-18
57,199,52,1.353,2020-03-19
58,253,54,1.271,2020-03-20
59,306,53,1.209,2020-03-21
60,367,61,1.199,2020-03-22
61,438,71,1.193,2020-03-23
62,495,57,1.130,2020-03-24
63,658,163,1.329,2020-03-25
64,840,182,1.276,2020-03-26
65,1036,196,1.233,2020-03-27
66,1264,228,1.220,2020-03-28
67,1534,270,1.213,2020-03-29
68,1836,302,1.196,2020-03-30
69,2337,501,1.272,2020-03-31
70,2777,440,1.188,2020-04-01
71,3548,771,1.277,2020-04-02
72,4149,601,1.169,2020-04-03
73,4731,582,1.140,2020-04-04
74,5389,658,1.139,2020-04-05
75,6343,954,1.177,2020-04-06
76,7497,1154,1.181,2020-04-07
77,8672,1175,1.156,2020-04-08
78,10131,1459,1.168,2020-04-09
79,11917,1786,1.176,2020-04-10
80,13584,1667,1.139,2020-04-11
81,15770,2186,1.160,2020-04-12
82,18328,2558,1.162,2020-04-13
83,21102,2774,1.151,2020-04-14
84,24490,3388,1.160,2020-04-15
85,27938,3448,1.140,2020-04-16
86,32008,4070,1.145,2020-04-17
87,36793,4785,1.149,2020-04-18
88,42853,6060,1.164,2020-04-19
89,47121,4268,1.099,2020-04-20
90,52763,5642,1.119,2020-04-21
91,57999,5236,1.099,2020-04-22
92,62773,4774,1.082,2020-04-23
