day,cases,cases_new,growth,date
52,1,1,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,5,4,5.0,2020-03-16
55,7,2,1.4,2020-03-17
56,8,1,1.142,2020-03-18
57,8,0,1.0,2020-03-19
58,17,9,2.125,2020-03-20
59,17,0,1.0,2020-03-21
60,19,2,1.117,2020-03-22
61,36,17,1.894,2020-03-23
62,40,4,1.111,2020-03-24
63,41,1,1.025,2020-03-25
64,50,9,1.219,2020-03-26
65,54,4,1.08,2020-03-27
66,60,6,1.111,2020-03-28
67,70,10,1.166,2020-03-29
68,70,0,1.0,2020-03-30
69,75,5,1.071,2020-03-31
70,82,7,1.093,2020-04-01
71,84,2,1.024,2020-04-02
72,89,5,1.059,2020-04-03
