day,cases,cases_new,growth,date
52,1,1,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,1,0,1.0,2020-03-24
63,1,0,1.0,2020-03-25
64,1,0,1.0,2020-03-26
65,1,0,1.0,2020-03-27
66,1,0,1.0,2020-03-28
67,1,0,1.0,2020-03-29
68,1,0,1.0,2020-03-30
69,1,0,1.0,2020-03-31
70,1,0,1.0,2020-04-01
71,2,1,2.0,2020-04-02
72,3,1,1.5,2020-04-03
73,7,4,2.333,2020-04-04
74,7,0,1.0,2020-04-05
75,7,0,1.0,2020-04-06
76,8,1,1.142,2020-04-07
77,8,0,1.0,2020-04-08
78,12,4,1.5,2020-04-09
79,12,0,1.0,2020-04-10
80,12,0,1.0,2020-04-11
81,12,0,1.0,2020-04-12
82,12,0,1.0,2020-04-13
83,12,0,1.0,2020-04-14
84,12,0,1.0,2020-04-15
85,12,0,1.0,2020-04-16
86,12,0,1.0,2020-04-17
87,12,0,1.0,2020-04-18
88,12,0,1.0,2020-04-19
89,12,0,1.0,2020-04-20
90,12,0,1.0,2020-04-21
91,13,1,1.083,2020-04-22
92,13,0,1.0,2020-04-23
93,14,1,1.076,2020-04-24
94,14,0,1.0,2020-04-25
95,14,0,1.0,2020-04-26
96,15,1,1.071,2020-04-27
97,15,0,1.0,2020-04-28
98,16,1,1.066,2020-04-29
99,16,0,1.0,2020-04-30
100,16,0,1.0,2020-05-01
101,16,0,1.0,2020-05-02
102,16,0,1.0,2020-05-03
103,17,1,1.062,2020-05-04
104,17,0,1.0,2020-05-05
105,17,0,1.0,2020-05-06
106,17,0,1.0,2020-05-07
107,17,0,1.0,2020-05-08
108,17,0,1.0,2020-05-09
109,17,0,1.0,2020-05-10
110,17,0,1.0,2020-05-11
111,17,0,1.0,2020-05-12
112,17,0,1.0,2020-05-13
113,17,0,1.0,2020-05-14
114,17,0,1.0,2020-05-15
115,17,0,1.0,2020-05-16
116,17,0,1.0,2020-05-17
117,17,0,1.0,2020-05-18
118,17,0,1.0,2020-05-19
119,18,1,1.058,2020-05-20
120,18,0,1.0,2020-05-21
121,18,0,1.0,2020-05-22
122,18,0,1.0,2020-05-23
123,18,0,1.0,2020-05-24
