day,cases,cases_new,growth,date
36,1,1,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,8,7,8.0,2020-03-02
41,10,2,1.25,2020-03-03
42,16,6,1.6,2020-03-04
43,21,5,1.312,2020-03-05
44,21,0,1.0,2020-03-06
45,23,2,1.095,2020-03-07
46,36,13,1.565,2020-03-08
47,36,0,1.0,2020-03-09
48,51,15,1.416,2020-03-10
49,62,11,1.215,2020-03-11
50,69,7,1.112,2020-03-12
51,80,11,1.159,2020-03-13
52,80,0,1.0,2020-03-14
53,101,21,1.262,2020-03-15
54,109,8,1.079,2020-03-16
55,109,0,1.0,2020-03-17
56,119,10,1.091,2020-03-18
57,119,0,1.0,2020-03-19
58,144,25,1.210,2020-03-20
59,144,0,1.0,2020-03-21
60,175,31,1.215,2020-03-22
61,187,12,1.068,2020-03-23
62,187,0,1.0,2020-03-24
63,208,21,1.112,2020-03-25
64,208,0,1.0,2020-03-26
65,223,15,1.072,2020-03-27
66,224,1,1.004,2020-03-28
67,224,0,1.0,2020-03-29
68,230,6,1.026,2020-03-30
69,236,6,1.026,2020-03-31
70,236,0,1.0,2020-04-01
71,245,9,1.038,2020-04-02
72,245,0,1.0,2020-04-03
73,259,14,1.057,2020-04-04
74,266,7,1.027,2020-04-05
75,266,0,1.0,2020-04-06
76,279,13,1.048,2020-04-07
77,279,0,1.0,2020-04-08
78,333,54,1.193,2020-04-09
79,344,11,1.033,2020-04-10
80,356,12,1.034,2020-04-11
81,356,0,1.0,2020-04-12
82,356,0,1.0,2020-04-13
83,371,15,1.042,2020-04-14
84,372,1,1.002,2020-04-15
85,426,54,1.145,2020-04-16
86,435,9,1.021,2020-04-17
87,455,20,1.045,2020-04-18
88,461,6,1.013,2020-04-19
89,462,1,1.002,2020-04-20
90,476,14,1.030,2020-04-21
91,488,12,1.025,2020-04-22
92,501,13,1.026,2020-04-23
93,513,12,1.023,2020-04-24
94,513,0,1.0,2020-04-25
95,538,25,1.048,2020-04-26
96,538,0,1.0,2020-04-27
97,553,15,1.027,2020-04-28
98,563,10,1.018,2020-04-29
99,569,6,1.010,2020-04-30
100,580,11,1.019,2020-05-01
101,580,0,1.0,2020-05-02
102,582,2,1.003,2020-05-03
103,582,0,1.0,2020-05-04
104,589,7,1.012,2020-05-05
105,608,19,1.032,2020-05-06
106,622,14,1.023,2020-05-07
107,623,1,1.001,2020-05-08
108,637,14,1.022,2020-05-09
109,628,-9,0.985,2020-05-10
110,628,0,1.0,2020-05-11
111,638,10,1.015,2020-05-12
112,643,5,1.007,2020-05-13
113,648,5,1.007,2020-05-14
114,652,4,1.006,2020-05-15
115,653,1,1.001,2020-05-16
116,654,1,1.001,2020-05-17
117,654,0,1.0,2020-05-18
118,655,1,1.001,2020-05-19
119,656,1,1.001,2020-05-20
120,658,2,1.003,2020-05-21
121,661,3,1.004,2020-05-22
122,665,4,1.006,2020-05-23
123,665,0,1.0,2020-05-24
