day,cases,cases_new,growth,date
75,4,4,1.0,2020-04-06
76,4,0,1.0,2020-04-07
77,4,0,1.0,2020-04-08
78,4,0,1.0,2020-04-09
79,4,0,1.0,2020-04-10
80,4,0,1.0,2020-04-11
81,4,0,1.0,2020-04-12
82,4,0,1.0,2020-04-13
83,4,0,1.0,2020-04-14
84,4,0,1.0,2020-04-15
85,4,0,1.0,2020-04-16
86,4,0,1.0,2020-04-17
87,4,0,1.0,2020-04-18
88,4,0,1.0,2020-04-19
89,4,0,1.0,2020-04-20
90,4,0,1.0,2020-04-21
91,4,0,1.0,2020-04-22
92,4,0,1.0,2020-04-23
93,4,0,1.0,2020-04-24
94,4,0,1.0,2020-04-25
95,4,0,1.0,2020-04-26
96,4,0,1.0,2020-04-27
97,8,4,2.0,2020-04-28
98,8,0,1.0,2020-04-29
99,14,6,1.75,2020-04-30
100,16,2,1.142,2020-05-01
101,16,0,1.0,2020-05-02
102,16,0,1.0,2020-05-03
103,23,7,1.437,2020-05-04
104,174,151,7.565,2020-05-05
105,174,0,1.0,2020-05-06
106,187,13,1.074,2020-05-07
107,208,21,1.112,2020-05-08
108,208,0,1.0,2020-05-09
109,208,0,1.0,2020-05-10
110,208,0,1.0,2020-05-11
111,208,0,1.0,2020-05-12
112,220,12,1.057,2020-05-13
113,235,15,1.068,2020-05-14
114,235,0,1.0,2020-05-15
115,235,0,1.0,2020-05-16
116,235,0,1.0,2020-05-17
117,246,11,1.046,2020-05-18
118,251,5,1.020,2020-05-19
119,251,0,1.0,2020-05-20
120,251,0,1.0,2020-05-21
121,251,0,1.0,2020-05-22
122,251,0,1.0,2020-05-23
123,251,0,1.0,2020-05-24
