day,cases,cases_new,growth,date
40,1,1,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,5,4,5.0,2020-03-05
44,5,0,1.0,2020-03-06
45,5,0,1.0,2020-03-07
46,11,6,2.2,2020-03-08
47,15,4,1.363,2020-03-09
48,20,5,1.333,2020-03-10
49,21,1,1.05,2020-03-11
50,45,24,2.142,2020-03-12
51,86,41,1.911,2020-03-13
52,103,17,1.197,2020-03-14
53,103,0,1.0,2020-03-15
54,118,15,1.145,2020-03-16
55,171,53,1.449,2020-03-17
56,171,0,1.0,2020-03-18
57,274,103,1.602,2020-03-19
58,344,70,1.255,2020-03-20
59,392,48,1.139,2020-03-21
60,511,119,1.303,2020-03-22
61,562,51,1.099,2020-03-23
62,767,205,1.364,2020-03-24
63,900,133,1.173,2020-03-25
64,1012,112,1.124,2020-03-26
65,1104,92,1.090,2020-03-27
66,1203,99,1.089,2020-03-28
