day,cases,cases_new,growth,date
40,1,1,1.0,2020-03-02
41,2,1,2.0,2020-03-03
42,4,2,2.0,2020-03-04
43,4,0,1.0,2020-03-05
44,4,0,1.0,2020-03-06
45,4,0,1.0,2020-03-07
46,4,0,1.0,2020-03-08
47,4,0,1.0,2020-03-09
48,4,0,1.0,2020-03-10
49,4,0,1.0,2020-03-11
50,6,2,1.5,2020-03-12
51,10,4,1.666,2020-03-13
52,10,0,1.0,2020-03-14
53,24,14,2.4,2020-03-15
54,24,0,1.0,2020-03-16
55,26,2,1.083,2020-03-17
56,31,5,1.192,2020-03-18
57,31,0,1.0,2020-03-19
58,38,7,1.225,2020-03-20
59,47,9,1.236,2020-03-21
60,67,20,1.425,2020-03-22
61,79,12,1.179,2020-03-23
62,86,7,1.088,2020-03-24
63,99,13,1.151,2020-03-25
64,105,6,1.060,2020-03-26
65,119,14,1.133,2020-03-27
66,130,11,1.092,2020-03-28
67,142,12,1.092,2020-03-29
68,162,20,1.140,2020-03-30
69,175,13,1.080,2020-03-31
70,190,15,1.085,2020-04-01
71,195,5,1.026,2020-04-02
72,207,12,1.061,2020-04-03
73,219,12,1.057,2020-04-04
74,222,3,1.013,2020-04-05
75,226,4,1.018,2020-04-06
76,237,11,1.048,2020-04-07
77,244,7,1.029,2020-04-08
78,250,6,1.024,2020-04-09
79,265,15,1.06,2020-04-10
80,278,13,1.049,2020-04-11
81,280,2,1.007,2020-04-12
82,291,11,1.039,2020-04-13
83,299,8,1.027,2020-04-14
84,314,15,1.050,2020-04-15
85,335,21,1.066,2020-04-16
86,342,7,1.020,2020-04-17
87,350,8,1.023,2020-04-18
88,367,17,1.048,2020-04-19
89,377,10,1.027,2020-04-20
90,412,35,1.092,2020-04-21
91,442,30,1.072,2020-04-22
92,479,37,1.083,2020-04-23
93,545,66,1.137,2020-04-24
94,614,69,1.126,2020-04-25
95,671,57,1.092,2020-04-26
96,736,65,1.096,2020-04-27
97,823,87,1.118,2020-04-28
98,882,59,1.071,2020-04-29
99,933,51,1.057,2020-04-30
100,1024,91,1.097,2020-05-01
101,1115,91,1.088,2020-05-02
102,1182,67,1.060,2020-05-03
103,1271,89,1.075,2020-05-04
104,1329,58,1.045,2020-05-05
105,1433,104,1.078,2020-05-06
106,1492,59,1.041,2020-05-07
107,1551,59,1.039,2020-05-08
108,1634,83,1.053,2020-05-09
109,1709,75,1.045,2020-05-10
110,1886,177,1.103,2020-05-11
111,1995,109,1.057,2020-05-12
112,2105,110,1.055,2020-05-13
113,2189,84,1.039,2020-05-14
114,2310,121,1.055,2020-05-15
115,2429,119,1.051,2020-05-16
116,2480,51,1.020,2020-05-17
117,2544,64,1.025,2020-05-18
118,2617,73,1.028,2020-05-19
119,2714,97,1.037,2020-05-20
120,2812,98,1.036,2020-05-21
121,2909,97,1.034,2020-05-22
122,2976,67,1.023,2020-05-23
123,3047,71,1.023,2020-05-24
