day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,5,4,5.0,2020-03-10
49,12,7,2.4,2020-03-11
50,19,7,1.583,2020-03-12
51,35,16,1.842,2020-03-13
52,46,11,1.314,2020-03-14
53,48,2,1.043,2020-03-15
54,55,7,1.145,2020-03-16
55,65,10,1.181,2020-03-17
56,83,18,1.276,2020-03-18
57,103,20,1.240,2020-03-19
58,135,32,1.310,2020-03-20
59,171,36,1.266,2020-03-21
60,222,51,1.298,2020-03-22
61,249,27,1.121,2020-03-23
62,303,54,1.216,2020-03-24
63,384,81,1.267,2020-03-25
64,384,0,1.0,2020-03-26
65,457,73,1.190,2020-03-27
66,659,202,1.442,2020-03-28
67,741,82,1.124,2020-03-29
68,785,44,1.059,2020-03-30
