day,cases,cases_new,growth,date
69,1,1,1.0,2020-03-31
70,2,1,2.0,2020-04-01
71,2,0,1.0,2020-04-02
72,2,0,1.0,2020-04-03
73,4,2,2.0,2020-04-04
74,6,2,1.5,2020-04-05
75,6,0,1.0,2020-04-06
76,6,0,1.0,2020-04-07
77,7,1,1.166,2020-04-08
78,7,0,1.0,2020-04-09
79,8,1,1.142,2020-04-10
80,8,0,1.0,2020-04-11
81,10,2,1.25,2020-04-12
82,10,0,1.0,2020-04-13
83,11,1,1.1,2020-04-14
84,13,2,1.181,2020-04-15
85,15,2,1.153,2020-04-16
86,26,11,1.733,2020-04-17
87,30,4,1.153,2020-04-18
88,35,5,1.166,2020-04-19
89,43,8,1.228,2020-04-20
90,50,7,1.162,2020-04-21
91,61,11,1.22,2020-04-22
92,64,3,1.049,2020-04-23
