day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,3,2,3.0,2020-03-08
47,3,0,1.0,2020-03-09
48,7,4,2.333,2020-03-10
49,10,3,1.428,2020-03-11
50,16,6,1.6,2020-03-12
51,32,16,2.0,2020-03-13
52,44,12,1.375,2020-03-14
53,54,10,1.227,2020-03-15
54,63,9,1.166,2020-03-16
55,72,9,1.142,2020-03-17
56,105,33,1.458,2020-03-18
57,123,18,1.171,2020-03-19
58,137,14,1.113,2020-03-20
59,178,41,1.299,2020-03-21
60,185,7,1.039,2020-03-22
61,186,1,1.005,2020-03-23
62,204,18,1.096,2020-03-24
63,216,12,1.058,2020-03-25
64,226,10,1.046,2020-03-26
65,269,43,1.190,2020-03-27
66,292,23,1.085,2020-03-28
67,314,22,1.075,2020-03-29
68,336,22,1.070,2020-03-30
69,363,27,1.080,2020-03-31
70,400,37,1.101,2020-04-01
71,426,26,1.065,2020-04-02
72,450,24,1.056,2020-04-03
