day,cases,cases_new,growth,date
43,2,2,1.0,2020-03-05
44,7,5,3.5,2020-03-06
45,7,0,1.0,2020-03-07
46,16,9,2.285,2020-03-08
47,16,0,1.0,2020-03-09
48,31,15,1.937,2020-03-10
49,57,26,1.838,2020-03-11
50,89,32,1.561,2020-03-12
51,141,52,1.584,2020-03-13
52,181,40,1.283,2020-03-14
53,219,38,1.209,2020-03-15
54,253,34,1.155,2020-03-16
55,275,22,1.086,2020-03-17
56,275,0,1.0,2020-03-18
57,286,11,1.04,2020-03-19
58,341,55,1.192,2020-03-20
59,383,42,1.123,2020-03-21
60,414,31,1.080,2020-03-22
61,442,28,1.067,2020-03-23
62,480,38,1.085,2020-03-24
63,528,48,1.1,2020-03-25
64,562,34,1.064,2020-03-26
65,632,70,1.124,2020-03-27
66,684,52,1.082,2020-03-28
67,730,46,1.067,2020-03-29
68,756,26,1.035,2020-03-30
