day,cases,cases_new,growth,date
54,1,1,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,1,0,1.0,2020-03-24
63,1,0,1.0,2020-03-25
64,2,1,2.0,2020-03-26
65,3,1,1.5,2020-03-27
66,3,0,1.0,2020-03-28
67,3,0,1.0,2020-03-29
68,3,0,1.0,2020-03-30
69,5,2,1.666,2020-03-31
70,5,0,1.0,2020-04-01
71,5,0,1.0,2020-04-02
72,7,2,1.4,2020-04-03
73,7,0,1.0,2020-04-04
74,7,0,1.0,2020-04-05
75,7,0,1.0,2020-04-06
76,8,1,1.142,2020-04-07
77,12,4,1.5,2020-04-08
78,12,0,1.0,2020-04-09
79,21,9,1.75,2020-04-10
80,21,0,1.0,2020-04-11
81,25,4,1.190,2020-04-12
82,60,35,2.4,2020-04-13
83,60,0,1.0,2020-04-14
84,80,20,1.333,2020-04-15
85,80,0,1.0,2020-04-16
86,116,36,1.45,2020-04-17
87,135,19,1.163,2020-04-18
88,164,29,1.214,2020-04-19
89,237,73,1.445,2020-04-20
90,286,49,1.206,2020-04-21
91,286,0,1.0,2020-04-22
92,328,42,1.146,2020-04-23
