day,cases,cases_new,growth,date
43,1,1,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,3,2,3.0,2020-03-08
47,3,0,1.0,2020-03-09
48,7,4,2.333,2020-03-10
49,13,6,1.857,2020-03-11
50,17,4,1.307,2020-03-12
51,24,7,1.411,2020-03-13
52,38,14,1.583,2020-03-14
53,51,13,1.342,2020-03-15
54,62,11,1.215,2020-03-16
55,62,0,1.0,2020-03-17
56,116,54,1.870,2020-03-18
57,150,34,1.293,2020-03-19
58,202,52,1.346,2020-03-20
59,240,38,1.188,2020-03-21
60,274,34,1.141,2020-03-22
61,402,128,1.467,2020-03-23
62,554,152,1.378,2020-03-24
63,709,155,1.279,2020-03-25
