day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,1,0,1.0,2020-01-23
2,2,1,2.0,2020-01-24
3,2,0,1.0,2020-01-25
4,3,1,1.5,2020-01-26
5,4,1,1.333,2020-01-27
6,4,0,1.0,2020-01-28
7,4,0,1.0,2020-01-29
8,4,0,1.0,2020-01-30
9,11,7,2.75,2020-01-31
10,12,1,1.090,2020-02-01
11,15,3,1.25,2020-02-02
12,15,0,1.0,2020-02-03
13,16,1,1.066,2020-02-04
14,19,3,1.187,2020-02-05
15,23,4,1.210,2020-02-06
16,24,1,1.043,2020-02-07
17,24,0,1.0,2020-02-08
18,25,1,1.041,2020-02-09
19,27,2,1.08,2020-02-10
20,28,1,1.037,2020-02-11
21,28,0,1.0,2020-02-12
22,28,0,1.0,2020-02-13
23,28,0,1.0,2020-02-14
24,28,0,1.0,2020-02-15
25,29,1,1.035,2020-02-16
26,30,1,1.034,2020-02-17
27,31,1,1.033,2020-02-18
28,31,0,1.0,2020-02-19
29,104,73,3.354,2020-02-20
30,204,100,1.961,2020-02-21
31,433,229,2.122,2020-02-22
32,602,169,1.390,2020-02-23
33,833,231,1.383,2020-02-24
34,977,144,1.172,2020-02-25
35,1261,284,1.290,2020-02-26
36,1766,505,1.400,2020-02-27
37,2337,571,1.323,2020-02-28
38,3150,813,1.347,2020-02-29
39,3736,586,1.186,2020-03-01
40,4335,599,1.160,2020-03-02
41,5186,851,1.196,2020-03-03
42,5621,435,1.083,2020-03-04
43,6088,467,1.083,2020-03-05
44,6593,505,1.082,2020-03-06
45,7041,448,1.067,2020-03-07
46,7314,273,1.038,2020-03-08
47,7478,164,1.022,2020-03-09
48,7513,35,1.004,2020-03-10
49,7755,242,1.032,2020-03-11
50,7869,114,1.014,2020-03-12
51,7979,110,1.013,2020-03-13
52,8086,107,1.013,2020-03-14
53,8162,76,1.009,2020-03-15
54,8236,74,1.009,2020-03-16
55,8320,84,1.010,2020-03-17
56,8413,93,1.011,2020-03-18
57,8565,152,1.018,2020-03-19
58,8652,87,1.010,2020-03-20
59,8799,147,1.016,2020-03-21
60,8961,162,1.018,2020-03-22
61,8961,0,1.0,2020-03-23
62,9037,76,1.008,2020-03-24
63,9137,100,1.011,2020-03-25
64,9241,104,1.011,2020-03-26
