day,cases,cases_new,growth,date
74,1,1,1.0,2020-04-05
75,1,0,1.0,2020-04-06
76,2,1,2.0,2020-04-07
77,2,0,1.0,2020-04-08
78,3,1,1.5,2020-04-09
79,4,1,1.333,2020-04-10
80,4,0,1.0,2020-04-11
81,4,0,1.0,2020-04-12
82,4,0,1.0,2020-04-13
83,4,0,1.0,2020-04-14
84,4,0,1.0,2020-04-15
85,4,0,1.0,2020-04-16
86,4,0,1.0,2020-04-17
87,4,0,1.0,2020-04-18
88,4,0,1.0,2020-04-19
89,4,0,1.0,2020-04-20
90,4,0,1.0,2020-04-21
91,4,0,1.0,2020-04-22
92,5,1,1.25,2020-04-23
93,5,0,1.0,2020-04-24
94,5,0,1.0,2020-04-25
95,6,1,1.2,2020-04-26
96,6,0,1.0,2020-04-27
97,34,28,5.666,2020-04-28
98,34,0,1.0,2020-04-29
99,35,1,1.029,2020-04-30
100,45,10,1.285,2020-05-01
101,45,0,1.0,2020-05-02
102,46,1,1.022,2020-05-03
103,46,0,1.0,2020-05-04
104,52,6,1.130,2020-05-05
105,58,6,1.115,2020-05-06
106,74,16,1.275,2020-05-07
107,120,46,1.621,2020-05-08
108,120,0,1.0,2020-05-09
109,120,0,1.0,2020-05-10
110,156,36,1.3,2020-05-11
111,194,38,1.243,2020-05-12
112,203,9,1.046,2020-05-13
113,203,0,1.0,2020-05-14
114,236,33,1.162,2020-05-15
115,236,0,1.0,2020-05-16
116,290,54,1.228,2020-05-17
117,290,0,1.0,2020-05-18
118,290,0,1.0,2020-05-19
119,290,0,1.0,2020-05-20
120,481,191,1.658,2020-05-21
121,563,82,1.170,2020-05-22
122,655,92,1.163,2020-05-23
123,655,0,1.0,2020-05-24
