day,cases,cases_new,growth,date
10,1,1,1.0,2020-02-01
11,1,0,1.0,2020-02-02
12,1,0,1.0,2020-02-03
13,1,0,1.0,2020-02-04
14,1,0,1.0,2020-02-05
15,1,0,1.0,2020-02-06
16,1,0,1.0,2020-02-07
17,1,0,1.0,2020-02-08
18,2,1,2.0,2020-02-09
19,2,0,1.0,2020-02-10
20,2,0,1.0,2020-02-11
21,2,0,1.0,2020-02-12
22,2,0,1.0,2020-02-13
23,2,0,1.0,2020-02-14
24,2,0,1.0,2020-02-15
25,2,0,1.0,2020-02-16
26,2,0,1.0,2020-02-17
27,2,0,1.0,2020-02-18
28,2,0,1.0,2020-02-19
29,2,0,1.0,2020-02-20
30,2,0,1.0,2020-02-21
31,2,0,1.0,2020-02-22
32,2,0,1.0,2020-02-23
33,2,0,1.0,2020-02-24
34,6,4,3.0,2020-02-25
35,13,7,2.166,2020-02-26
36,15,2,1.153,2020-02-27
37,32,17,2.133,2020-02-28
38,45,13,1.406,2020-02-29
39,84,39,1.866,2020-03-01
40,120,36,1.428,2020-03-02
41,165,45,1.375,2020-03-03
42,222,57,1.345,2020-03-04
43,259,37,1.166,2020-03-05
44,400,141,1.544,2020-03-06
45,500,100,1.25,2020-03-07
46,673,173,1.346,2020-03-08
47,1073,400,1.594,2020-03-09
48,1695,622,1.579,2020-03-10
49,2277,582,1.343,2020-03-11
50,2980,703,1.308,2020-03-12
51,5232,2252,1.755,2020-03-13
52,6391,1159,1.221,2020-03-14
53,7798,1407,1.220,2020-03-15
54,9942,2144,1.274,2020-03-16
55,11748,1806,1.181,2020-03-17
56,13910,2162,1.184,2020-03-18
57,17963,4053,1.291,2020-03-19
58,20410,2447,1.136,2020-03-20
59,25374,4964,1.243,2020-03-21
60,28768,3394,1.133,2020-03-22
61,35136,6368,1.221,2020-03-23
62,39885,4749,1.135,2020-03-24
63,49515,9630,1.241,2020-03-25
64,57786,8271,1.167,2020-03-26
