day,cases,cases_new,growth,date
5,1,1,1.0,2020-01-27
6,1,0,1.0,2020-01-28
7,1,0,1.0,2020-01-29
8,1,0,1.0,2020-01-30
9,1,0,1.0,2020-01-31
10,1,0,1.0,2020-02-01
11,1,0,1.0,2020-02-02
12,1,0,1.0,2020-02-03
13,1,0,1.0,2020-02-04
14,1,0,1.0,2020-02-05
15,1,0,1.0,2020-02-06
16,1,0,1.0,2020-02-07
17,1,0,1.0,2020-02-08
18,1,0,1.0,2020-02-09
19,1,0,1.0,2020-02-10
20,1,0,1.0,2020-02-11
21,1,0,1.0,2020-02-12
22,1,0,1.0,2020-02-13
23,1,0,1.0,2020-02-14
24,1,0,1.0,2020-02-15
25,1,0,1.0,2020-02-16
26,1,0,1.0,2020-02-17
27,1,0,1.0,2020-02-18
28,1,0,1.0,2020-02-19
29,1,0,1.0,2020-02-20
30,1,0,1.0,2020-02-21
31,1,0,1.0,2020-02-22
32,1,0,1.0,2020-02-23
33,1,0,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,1,0,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,2,1,2.0,2020-03-11
50,3,1,1.5,2020-03-12
51,6,3,2.0,2020-03-13
52,10,4,1.666,2020-03-14
53,18,8,1.8,2020-03-15
54,28,10,1.555,2020-03-16
55,44,16,1.571,2020-03-17
56,51,7,1.159,2020-03-18
57,60,9,1.176,2020-03-19
58,73,13,1.216,2020-03-20
59,77,4,1.054,2020-03-21
60,82,5,1.064,2020-03-22
61,97,15,1.182,2020-03-23
62,102,5,1.051,2020-03-24
63,102,0,1.0,2020-03-25
64,106,4,1.039,2020-03-26
65,106,0,1.0,2020-03-27
66,113,7,1.066,2020-03-28
67,117,4,1.035,2020-03-29
68,122,5,1.042,2020-03-30
69,143,21,1.172,2020-03-31
70,146,3,1.020,2020-04-01
71,151,5,1.034,2020-04-02
72,159,8,1.052,2020-04-03
73,166,7,1.044,2020-04-04
74,176,10,1.060,2020-04-05
75,178,2,1.011,2020-04-06
76,185,7,1.039,2020-04-07
77,189,4,1.021,2020-04-08
78,190,1,1.005,2020-04-09
79,190,0,1.0,2020-04-10
80,198,8,1.042,2020-04-11
81,210,12,1.060,2020-04-12
82,217,7,1.033,2020-04-13
83,233,16,1.073,2020-04-14
84,238,5,1.021,2020-04-15
85,238,0,1.0,2020-04-16
86,244,6,1.025,2020-04-17
87,254,10,1.040,2020-04-18
88,271,17,1.066,2020-04-19
89,304,33,1.121,2020-04-20
90,310,6,1.019,2020-04-21
91,330,20,1.064,2020-04-22
92,368,38,1.115,2020-04-23
93,420,52,1.141,2020-04-24
94,460,40,1.095,2020-04-25
95,523,63,1.136,2020-04-26
96,588,65,1.124,2020-04-27
97,619,31,1.052,2020-04-28
98,649,30,1.048,2020-04-29
99,663,14,1.021,2020-04-30
100,690,27,1.040,2020-05-01
101,705,15,1.021,2020-05-02
102,718,13,1.018,2020-05-03
103,751,33,1.045,2020-05-04
104,771,20,1.026,2020-05-05
105,797,26,1.033,2020-05-06
106,824,27,1.033,2020-05-07
107,835,11,1.013,2020-05-08
108,847,12,1.014,2020-05-09
109,863,16,1.018,2020-05-10
110,869,6,1.006,2020-05-11
111,889,20,1.023,2020-05-12
112,915,26,1.029,2020-05-13
113,925,10,1.010,2020-05-14
114,935,10,1.010,2020-05-15
115,960,25,1.026,2020-05-16
116,981,21,1.021,2020-05-17
117,992,11,1.011,2020-05-18
118,1027,35,1.035,2020-05-19
119,1028,1,1.000,2020-05-20
120,1055,27,1.026,2020-05-21
121,1068,13,1.012,2020-05-22
122,1089,21,1.019,2020-05-23
123,1141,52,1.047,2020-05-24
