day,cases,cases_new,growth,date
51,1,1,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,2,1,2.0,2020-03-18
57,2,0,1.0,2020-03-19
58,2,0,1.0,2020-03-20
59,2,0,1.0,2020-03-21
60,2,0,1.0,2020-03-22
61,2,0,1.0,2020-03-23
62,3,1,1.5,2020-03-24
63,3,0,1.0,2020-03-25
64,3,0,1.0,2020-03-26
65,3,0,1.0,2020-03-27
66,5,2,1.666,2020-03-28
67,6,1,1.2,2020-03-29
68,6,0,1.0,2020-03-30
69,7,1,1.166,2020-03-31
70,7,0,1.0,2020-04-01
71,8,1,1.142,2020-04-02
72,10,2,1.25,2020-04-03
73,10,0,1.0,2020-04-04
74,12,2,1.2,2020-04-05
75,12,0,1.0,2020-04-06
76,14,2,1.166,2020-04-07
77,14,0,1.0,2020-04-08
78,15,1,1.071,2020-04-09
79,17,2,1.133,2020-04-10
80,19,2,1.117,2020-04-11
81,19,0,1.0,2020-04-12
82,29,10,1.526,2020-04-13
83,32,3,1.103,2020-04-14
84,32,0,1.0,2020-04-15
85,32,0,1.0,2020-04-16
86,33,1,1.031,2020-04-17
87,66,33,2.0,2020-04-18
88,66,0,1.0,2020-04-19
89,107,41,1.621,2020-04-20
90,107,0,1.0,2020-04-21
91,140,33,1.308,2020-04-22
92,174,34,1.242,2020-04-23
93,174,0,1.0,2020-04-24
94,213,39,1.224,2020-04-25
95,237,24,1.112,2020-04-26
96,275,38,1.160,2020-04-27
97,318,43,1.156,2020-04-28
98,375,57,1.179,2020-04-29
99,442,67,1.178,2020-04-30
100,533,91,1.205,2020-05-01
101,592,59,1.110,2020-05-02
102,592,0,1.0,2020-05-03
103,678,86,1.145,2020-05-04
104,778,100,1.147,2020-05-05
105,852,74,1.095,2020-05-06
106,930,78,1.091,2020-05-07
107,1111,181,1.194,2020-05-08
108,1164,53,1.047,2020-05-09
109,1365,201,1.172,2020-05-10
110,1526,161,1.117,2020-05-11
111,1661,135,1.088,2020-05-12
112,1818,157,1.094,2020-05-13
113,1818,0,1.0,2020-05-14
114,1964,146,1.080,2020-05-15
115,2289,325,1.165,2020-05-16
116,2289,0,1.0,2020-05-17
117,2591,302,1.131,2020-05-18
118,2728,137,1.052,2020-05-19
119,2728,0,1.0,2020-05-20
120,3138,410,1.150,2020-05-21
121,3378,240,1.076,2020-05-22
122,3628,250,1.074,2020-05-23
123,3820,192,1.052,2020-05-24
