day,cases,cases_new,growth,date
52,1,1,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,4,3,4.0,2020-03-20
59,4,0,1.0,2020-03-21
60,5,1,1.25,2020-03-22
61,5,0,1.0,2020-03-23
62,7,2,1.4,2020-03-24
63,8,1,1.142,2020-03-25
64,8,0,1.0,2020-03-26
65,8,0,1.0,2020-03-27
66,8,0,1.0,2020-03-28
67,8,0,1.0,2020-03-29
68,8,0,1.0,2020-03-30
69,9,1,1.125,2020-03-31
70,10,1,1.111,2020-04-01
71,10,0,1.0,2020-04-02
72,10,0,1.0,2020-04-03
73,10,0,1.0,2020-04-04
74,10,0,1.0,2020-04-05
75,10,0,1.0,2020-04-06
76,10,0,1.0,2020-04-07
77,10,0,1.0,2020-04-08
78,10,0,1.0,2020-04-09
79,10,0,1.0,2020-04-10
80,10,0,1.0,2020-04-11
81,10,0,1.0,2020-04-12
82,10,0,1.0,2020-04-13
83,10,0,1.0,2020-04-14
84,10,0,1.0,2020-04-15
85,10,0,1.0,2020-04-16
86,10,0,1.0,2020-04-17
87,10,0,1.0,2020-04-18
88,10,0,1.0,2020-04-19
89,10,0,1.0,2020-04-20
90,10,0,1.0,2020-04-21
91,10,0,1.0,2020-04-22
92,10,0,1.0,2020-04-23
