day,cases,cases_new,growth,date
34,1,1,1.0,2020-02-25
35,1,0,1.0,2020-02-26
36,8,7,8.0,2020-02-27
37,8,0,1.0,2020-02-28
38,18,10,2.25,2020-02-29
39,27,9,1.5,2020-03-01
40,42,15,1.555,2020-03-02
41,56,14,1.333,2020-03-03
42,90,34,1.607,2020-03-04
43,114,24,1.266,2020-03-05
44,214,100,1.877,2020-03-06
45,268,54,1.252,2020-03-07
46,337,69,1.257,2020-03-08
47,374,37,1.109,2020-03-09
48,491,117,1.312,2020-03-10
49,652,161,1.327,2020-03-11
50,814,162,1.248,2020-03-12
51,1139,325,1.399,2020-03-13
52,1359,220,1.193,2020-03-14
53,2200,841,1.618,2020-03-15
54,2200,0,1.0,2020-03-16
55,2700,500,1.227,2020-03-17
56,3028,328,1.121,2020-03-18
57,4075,1047,1.345,2020-03-19
58,5294,1219,1.299,2020-03-20
59,6575,1281,1.241,2020-03-21
60,7474,899,1.136,2020-03-22
61,8795,1321,1.176,2020-03-23
62,9877,1082,1.123,2020-03-24
63,10897,1020,1.103,2020-03-25
64,11811,914,1.083,2020-03-26
65,12928,1117,1.094,2020-03-27
66,14076,1148,1.088,2020-03-28
67,14829,753,1.053,2020-03-29
68,15922,1093,1.073,2020-03-30
69,16605,683,1.042,2020-03-31
70,17768,1163,1.070,2020-04-01
71,18827,1059,1.059,2020-04-02
72,19606,779,1.041,2020-04-03
73,20505,899,1.045,2020-04-04
74,21100,595,1.029,2020-04-05
75,21657,557,1.026,2020-04-06
76,22253,596,1.027,2020-04-07
77,23280,1027,1.046,2020-04-08
78,24051,771,1.033,2020-04-09
79,24551,500,1.020,2020-04-10
80,25107,556,1.022,2020-04-11
81,25415,308,1.012,2020-04-12
82,25688,273,1.010,2020-04-13
83,25936,248,1.009,2020-04-14
84,26336,400,1.015,2020-04-15
85,26732,396,1.015,2020-04-16
86,27078,346,1.012,2020-04-17
87,27404,326,1.012,2020-04-18
88,27740,336,1.012,2020-04-19
89,27944,204,1.007,2020-04-20
90,28063,119,1.004,2020-04-21
91,28268,205,1.007,2020-04-22
92,28496,228,1.008,2020-04-23
93,28677,181,1.006,2020-04-24
94,28894,217,1.007,2020-04-25
95,29061,167,1.005,2020-04-26
96,29164,103,1.003,2020-04-27
97,29264,100,1.003,2020-04-28
98,29407,143,1.004,2020-04-29
99,29586,179,1.006,2020-04-30
100,29705,119,1.004,2020-05-01
101,29817,112,1.003,2020-05-02
102,29905,88,1.002,2020-05-03
103,29981,76,1.002,2020-05-04
104,30009,28,1.000,2020-05-05
105,30060,51,1.001,2020-05-06
106,30126,66,1.002,2020-05-07
107,30207,81,1.002,2020-05-08
108,30251,44,1.001,2020-05-09
109,30305,54,1.001,2020-05-10
110,30344,39,1.001,2020-05-11
111,30380,36,1.001,2020-05-12
112,30413,33,1.001,2020-05-13
113,30463,50,1.001,2020-05-14
114,30514,51,1.001,2020-05-15
115,30572,58,1.001,2020-05-16
116,30587,15,1.000,2020-05-17
117,30597,10,1.000,2020-05-18
118,30618,21,1.000,2020-05-19
119,30658,40,1.001,2020-05-20
120,30694,36,1.001,2020-05-21
121,30707,13,1.000,2020-05-22
122,30725,18,1.000,2020-05-23
123,30736,11,1.000,2020-05-24
