day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,1,0,1.0,2020-01-23
2,3,2,3.0,2020-01-24
3,3,0,1.0,2020-01-25
4,4,1,1.333,2020-01-26
5,5,1,1.25,2020-01-27
6,8,3,1.6,2020-01-28
7,8,0,1.0,2020-01-29
8,9,1,1.125,2020-01-30
9,10,1,1.111,2020-01-31
10,10,0,1.0,2020-02-01
11,10,0,1.0,2020-02-02
12,10,0,1.0,2020-02-03
13,11,1,1.1,2020-02-04
14,11,0,1.0,2020-02-05
15,16,5,1.454,2020-02-06
16,16,0,1.0,2020-02-07
17,17,1,1.062,2020-02-08
18,18,1,1.058,2020-02-09
19,18,0,1.0,2020-02-10
20,18,0,1.0,2020-02-11
21,18,0,1.0,2020-02-12
22,18,0,1.0,2020-02-13
23,18,0,1.0,2020-02-14
24,18,0,1.0,2020-02-15
25,20,2,1.111,2020-02-16
26,22,2,1.1,2020-02-17
27,22,0,1.0,2020-02-18
28,23,1,1.045,2020-02-19
29,24,1,1.043,2020-02-20
30,26,2,1.083,2020-02-21
31,26,0,1.0,2020-02-22
32,28,2,1.076,2020-02-23
33,30,2,1.071,2020-02-24
34,31,1,1.033,2020-02-25
35,32,1,1.032,2020-02-26
36,32,0,1.0,2020-02-27
37,34,2,1.062,2020-02-28
38,39,5,1.147,2020-02-29
39,40,1,1.025,2020-03-01
40,41,1,1.025,2020-03-02
41,42,1,1.024,2020-03-03
42,42,0,1.0,2020-03-04
43,44,2,1.047,2020-03-05
44,45,1,1.022,2020-03-06
45,45,0,1.0,2020-03-07
46,45,0,1.0,2020-03-08
47,45,0,1.0,2020-03-09
48,47,2,1.044,2020-03-10
49,48,1,1.021,2020-03-11
50,49,1,1.020,2020-03-12
51,50,1,1.020,2020-03-13
52,53,3,1.06,2020-03-14
53,59,6,1.113,2020-03-15
54,67,8,1.135,2020-03-16
55,77,10,1.149,2020-03-17
56,100,23,1.298,2020-03-18
57,108,8,1.08,2020-03-19
58,135,27,1.25,2020-03-20
59,153,18,1.133,2020-03-21
60,169,16,1.104,2020-03-22
61,195,26,1.153,2020-03-23
62,215,20,1.102,2020-03-24
63,235,20,1.093,2020-03-25
64,252,17,1.072,2020-03-26
65,267,15,1.059,2020-03-27
66,283,16,1.059,2020-03-28
67,298,15,1.053,2020-03-29
68,306,8,1.026,2020-03-30
69,322,16,1.052,2020-03-31
70,329,7,1.021,2020-04-01
71,339,10,1.030,2020-04-02
72,348,9,1.026,2020-04-03
