day,cases,cases_new,growth,date
99,15,15,1.0,2020-04-30
100,15,0,1.0,2020-05-01
101,76,61,5.066,2020-05-02
102,128,52,1.684,2020-05-03
103,230,102,1.796,2020-05-04
104,293,63,1.273,2020-05-05
105,379,86,1.293,2020-05-06
106,461,82,1.216,2020-05-07
107,522,61,1.132,2020-05-08
108,612,90,1.172,2020-05-09
109,612,0,1.0,2020-05-10
110,661,49,1.080,2020-05-11
111,729,68,1.102,2020-05-12
112,801,72,1.098,2020-05-13
113,907,106,1.132,2020-05-14
114,1118,211,1.232,2020-05-15
115,1322,204,1.182,2020-05-16
116,1524,202,1.152,2020-05-17
117,1729,205,1.134,2020-05-18
118,1936,207,1.119,2020-05-19
119,2140,204,1.105,2020-05-20
120,2350,210,1.098,2020-05-21
121,2551,201,1.085,2020-05-22
122,2738,187,1.073,2020-05-23
123,2929,191,1.069,2020-05-24
