day,cases,cases_new,growth,date
54,1,1,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,3,2,3.0,2020-03-18
57,6,3,2.0,2020-03-19
58,6,0,1.0,2020-03-20
59,6,0,1.0,2020-03-21
60,12,6,2.0,2020-03-22
61,12,0,1.0,2020-03-23
62,12,0,1.0,2020-03-24
63,12,0,1.0,2020-03-25
64,13,1,1.083,2020-03-26
65,13,0,1.0,2020-03-27
66,14,1,1.076,2020-03-28
67,14,0,1.0,2020-03-29
68,19,5,1.357,2020-03-30
69,19,0,1.0,2020-03-31
70,20,1,1.052,2020-04-01
71,20,0,1.0,2020-04-02
72,20,0,1.0,2020-04-03
73,20,0,1.0,2020-04-04
74,22,2,1.1,2020-04-05
75,24,2,1.090,2020-04-06
76,24,0,1.0,2020-04-07
77,25,1,1.041,2020-04-08
78,25,0,1.0,2020-04-09
79,32,7,1.28,2020-04-10
80,32,0,1.0,2020-04-11
81,32,0,1.0,2020-04-12
