day,cases,cases_new,growth,date
60,1,1,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,1,0,1.0,2020-03-24
63,1,0,1.0,2020-03-25
64,1,0,1.0,2020-03-26
65,1,0,1.0,2020-03-27
66,1,0,1.0,2020-03-28
67,1,0,1.0,2020-03-29
68,1,0,1.0,2020-03-30
69,1,0,1.0,2020-03-31
70,1,0,1.0,2020-04-01
71,1,0,1.0,2020-04-02
72,1,0,1.0,2020-04-03
73,1,0,1.0,2020-04-04
74,1,0,1.0,2020-04-05
75,1,0,1.0,2020-04-06
76,1,0,1.0,2020-04-07
77,1,0,1.0,2020-04-08
78,1,0,1.0,2020-04-09
79,2,1,2.0,2020-04-10
80,2,0,1.0,2020-04-11
81,2,0,1.0,2020-04-12
82,4,2,2.0,2020-04-13
83,6,2,1.5,2020-04-14
84,8,2,1.333,2020-04-15
85,18,10,2.25,2020-04-16
86,18,0,1.0,2020-04-17
87,18,0,1.0,2020-04-18
88,19,1,1.055,2020-04-19
89,22,3,1.157,2020-04-20
90,23,1,1.045,2020-04-21
91,23,0,1.0,2020-04-22
92,23,0,1.0,2020-04-23
