day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,9,8,9.0,2020-03-20
59,16,7,1.777,2020-03-21
60,16,0,1.0,2020-03-22
61,18,2,1.125,2020-03-23
62,20,2,1.111,2020-03-24
63,23,3,1.15,2020-03-25
64,23,0,1.0,2020-03-26
65,25,2,1.086,2020-03-27
66,25,0,1.0,2020-03-28
67,25,0,1.0,2020-03-29
68,30,5,1.2,2020-03-30
69,34,4,1.133,2020-03-31
70,36,2,1.058,2020-04-01
71,39,3,1.083,2020-04-02
72,40,1,1.025,2020-04-03
73,41,1,1.025,2020-04-04
74,44,3,1.073,2020-04-05
75,58,14,1.318,2020-04-06
76,65,7,1.120,2020-04-07
77,70,5,1.076,2020-04-08
78,73,3,1.042,2020-04-09
79,76,3,1.041,2020-04-10
80,76,0,1.0,2020-04-11
81,76,0,1.0,2020-04-12
82,77,1,1.013,2020-04-13
83,77,0,1.0,2020-04-14
84,81,4,1.051,2020-04-15
85,81,0,1.0,2020-04-16
86,83,2,1.024,2020-04-17
87,84,1,1.012,2020-04-18
88,84,0,1.0,2020-04-19
89,84,0,1.0,2020-04-20
90,86,2,1.023,2020-04-21
91,88,2,1.023,2020-04-22
92,88,0,1.0,2020-04-23
93,90,2,1.022,2020-04-24
94,96,6,1.066,2020-04-25
95,98,2,1.020,2020-04-26
96,98,0,1.0,2020-04-27
97,99,1,1.010,2020-04-28
98,109,10,1.101,2020-04-29
99,116,7,1.064,2020-04-30
100,123,7,1.060,2020-05-01
101,123,0,1.0,2020-05-02
102,124,1,1.008,2020-05-03
103,126,2,1.016,2020-05-04
104,128,2,1.015,2020-05-05
105,128,0,1.0,2020-05-06
106,135,7,1.054,2020-05-07
107,145,10,1.074,2020-05-08
108,153,8,1.055,2020-05-09
109,174,21,1.137,2020-05-10
110,181,7,1.040,2020-05-11
111,199,18,1.099,2020-05-12
112,219,20,1.100,2020-05-13
113,238,19,1.086,2020-05-14
114,263,25,1.105,2020-05-15
115,298,35,1.133,2020-05-16
116,301,3,1.010,2020-05-17
117,330,29,1.096,2020-05-18
118,338,8,1.024,2020-05-19
119,340,2,1.005,2020-05-20
120,354,14,1.041,2020-05-21
121,363,9,1.025,2020-05-22
122,373,10,1.027,2020-05-23
123,381,8,1.021,2020-05-24
