day,cases,cases_new,growth,date
52,2,2,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,4,2,2.0,2020-03-16
55,5,1,1.25,2020-03-17
56,7,2,1.4,2020-03-18
57,9,2,1.285,2020-03-19
58,9,0,1.0,2020-03-20
59,49,40,5.444,2020-03-21
60,50,1,1.020,2020-03-22
61,51,1,1.02,2020-03-23
62,57,6,1.117,2020-03-24
63,60,3,1.052,2020-03-25
64,65,5,1.083,2020-03-26
65,66,1,1.015,2020-03-27
66,74,8,1.121,2020-03-28
67,78,4,1.054,2020-03-29
68,82,4,1.051,2020-03-30
69,87,5,1.060,2020-03-31
70,90,3,1.034,2020-04-01
71,94,4,1.044,2020-04-02
72,98,4,1.042,2020-04-03
73,103,5,1.051,2020-04-04
74,104,1,1.009,2020-04-05
75,105,1,1.009,2020-04-06
76,107,2,1.019,2020-04-07
77,107,0,1.0,2020-04-08
78,109,2,1.018,2020-04-09
79,109,0,1.0,2020-04-10
80,112,3,1.027,2020-04-11
81,113,1,1.008,2020-04-12
82,113,0,1.0,2020-04-13
83,113,0,1.0,2020-04-14
84,114,1,1.008,2020-04-15
85,114,0,1.0,2020-04-16
86,114,0,1.0,2020-04-17
87,114,0,1.0,2020-04-18
88,114,0,1.0,2020-04-19
89,114,0,1.0,2020-04-20
90,115,1,1.008,2020-04-21
91,115,0,1.0,2020-04-22
92,115,0,1.0,2020-04-23
93,115,0,1.0,2020-04-24
94,115,0,1.0,2020-04-25
95,115,0,1.0,2020-04-26
96,116,1,1.008,2020-04-27
97,116,0,1.0,2020-04-28
98,116,0,1.0,2020-04-29
99,116,0,1.0,2020-04-30
100,116,0,1.0,2020-05-01
101,116,0,1.0,2020-05-02
102,116,0,1.0,2020-05-03
103,116,0,1.0,2020-05-04
104,116,0,1.0,2020-05-05
105,116,0,1.0,2020-05-06
106,116,0,1.0,2020-05-07
107,116,0,1.0,2020-05-08
108,116,0,1.0,2020-05-09
109,116,0,1.0,2020-05-10
110,116,0,1.0,2020-05-11
111,116,0,1.0,2020-05-12
112,116,0,1.0,2020-05-13
113,116,0,1.0,2020-05-14
114,116,0,1.0,2020-05-15
115,116,0,1.0,2020-05-16
116,116,0,1.0,2020-05-17
117,116,0,1.0,2020-05-18
118,116,0,1.0,2020-05-19
119,116,0,1.0,2020-05-20
120,116,0,1.0,2020-05-21
121,116,0,1.0,2020-05-22
122,116,0,1.0,2020-05-23
123,116,0,1.0,2020-05-24
