day,cases,cases_new,growth,date
42,1,1,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,2,1,2.0,2020-03-08
47,2,0,1.0,2020-03-09
48,5,3,2.5,2020-03-10
49,7,2,1.4,2020-03-11
50,10,3,1.428,2020-03-12
51,16,6,1.6,2020-03-13
52,18,2,1.125,2020-03-14
53,18,0,1.0,2020-03-15
54,20,2,1.111,2020-03-16
55,24,4,1.2,2020-03-17
56,29,5,1.208,2020-03-18
57,39,10,1.344,2020-03-19
58,54,15,1.384,2020-03-20
59,60,6,1.111,2020-03-21
60,75,15,1.25,2020-03-22
61,89,14,1.186,2020-03-23
62,114,25,1.280,2020-03-24
63,173,59,1.517,2020-03-25
64,197,24,1.138,2020-03-26
65,227,30,1.152,2020-03-27
66,278,51,1.224,2020-03-28
67,312,34,1.122,2020-03-29
68,312,0,1.0,2020-03-30
69,394,82,1.262,2020-03-31
70,423,29,1.073,2020-04-01
71,455,32,1.075,2020-04-02
72,495,40,1.087,2020-04-03
